Player Name,Player ID,Tournament,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Of Own Team,Total Wickets Lost By Own Team,Total Balls Played By Own Team,Total Runs Of Opposition Team,Total Wickets Lost By Opposition Team,Total Balls Played By Opposition Team,Runs Made,Balls Consumed,Batting Position,Dismissed,Dismissal Type,Special Batting Talent,Balls Bowled,Runs Given,Wickets Taken,Maidens Bowled,Batters Dismissed,Special Bowling Talent
Abrar Ahmed,1,National T20,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Abrar Ahmed,1,  Champions T20 2024-25,22,1,1,2,199,5,120,124,10,115,DNB,DNB,DNB,DNB,5,No,24,35,1,0,3,YES
Abrar Ahmed,1,PSL X,2,1,1,5,216,3,120,136,10,91,DNB,DNB,DNB,DNB,5,No,24,42,4,0,"3,4,9,10",YES
Abrar Ahmed,1,PSL X,4,2,1,4,140,10,98,219,6,120,6,3,10,YES,2,No,24,33,2,0,"2,4",YES
Abrar Ahmed,1,PSL X,8,2,1,2,119,9,120,175,7,120,5,6,10,YES,1,No,24,33,1,0,2,YES
Abrar Ahmed,1,PSL X,15,1,1,2,142,10,117,137,8,120,2,4,11,No,0,No,24,15,1,0,6,YES
Haris Rauf,2,National T20,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Haris Rauf,2,  Champions T20 2024-25,22,1,1,2,199,5,120,124,10,115,DNB,DNB,DNB,DNB,5,No,28,0,0,0,0,YES
Haris Rauf,2,PSL X,1,1,4,3,139,10,116,143,2,106,10,10,10,YES,6,No,24,34,1,0,1,YES
Haris Rauf,2,PSL X,4,1,4,1,219,6,120,140,10,98,DNB,DNB,DNB,DNB,5,No,18,35,1,0,4,YES
Haris Rauf,2,PSL X,6,1,4,2,201,6,120,136,10,115,DNB,DNB,DNB,DNB,5,No,24,23,1,0,6,YES
Haris Rauf,2,PSL X,12,2,4,6,195,9,120,228,5,120,1,2,10,YES,2,No,18,54,0,0,0,YES
Haris Rauf,2,PSL X,14,1,4,5,129,10,116,133,3,100,10,14,9,YES,1,No,22,39,1,0,3,YES
Haris Rauf,2,PSL X,16,2,4,6,186,5,114,185,3,120,DNB,DNB,DNB,DNB,5,No,24,46,1,0,1,YES
Haris Rauf,2,PSL X,19,1,4,3,209,6,120,121,10,101,DNB,DNB,DNB,DNB,5,No,DNB,DNB,DNB,DNB,DNB,YES
Haris Rauf,2,PSL X,21,1,4,1,111,3,69,DNP,DNP,DNP,DNB,DNB,DNB,DNB,5,No,DNB,DNB,DNB,DNB,DNB,YES
Haris Rauf,2,PSL X,24,1,4,2,160,8,90,168,6,87,DNB,DNB,DNB,DNB,5,No,18,40,2,0,"1,6",YES
Shan Masood,3,National T20,1,1,1,3,159,6,120,73,5,79,8,12,4,Yes,4,No,DNB,DNB,DNB,DNB,DNB,No
Shan Masood,3,National T20,8,2,1,5,135,4,105,132,7,120,38,19,3,Yes,2,No,DNB,DNB,DNB,DNB,DNB,No
Shan Masood,3,National T20,15,1,1,2,171,5,120,134,10,113,4,2,4,Yes,2,No,DNB,DNB,DNB,DNB,DNB,No
Shan Masood,3,National T20,29,1,1,4,182,5,120,165,5,120,51,30,2,Yes,1,No,DNB,DNB,DNB,DNB,DNB,No
Shan Masood,3,National T20,34,2,2,2,148,8,120,155,9,120,3,9,3,Yes,2,No,DNB,DNB,DNB,DNB,DNB,No
Shan Masood,3,  Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,No,,,,,DNP,
Shan Masood,3,PSL X,3,2,2,6,236,6,116,234,3,120,0,1,4,Yes,4,No,DNB,DNB,DNB,DNB,DNB,No
Shan Masood,3,PSL X,6,2,2,4,136,10,115,201,6,120,18,14,4,Yes,2,No,DNB,DNB,DNB,DNB,DNB,No
Shan Masood,3,PSL X,15,2,2,1,137,8,120,142,10,117,9,17,4,Yes,2,No,DNB,DNB,DNB,DNB,DNB,No
Babar Azam,4,National T20,15,1,1,2,171,5,120,134,10,113,22,17,2,Yes,2,Yes,DNB,DNB,DNB,DNB,DNB,No
Babar Azam,4,  Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Babar Azam,4,PSL X,2,2,5,1,136,10,96,216,3,120,0,2,2,Yes,2,Yes,DNB,DNB,DNB,DNB,DNB,No
Babar Azam,4,PSL X,5,2,5,3,141,10,112,243,5,120,1,3,2,Yes,2,Yes,DNB,DNB,DNB,DNB,DNB,No
Babar Azam,4,PSL X,9,1,5,6,227,7,120,107,10,100,2,5,2,Yes,4,Yes,DNB,DNB,DNB,DNB,DNB,No
Babar Azam,4,PSL X,11,1,5,2,147,8,120,148,8,117,46,41,1,Yes,4,Yes,DNB,DNB,DNB,DNB,DNB,No
Babar Azam,4,PSL X,14,2,5,4,133,3,99,129,10,116,56,42,2,No,0,Yes,DNB,DNB,DNB,DNB,DNB,No
Babar Azam,4,PSL X,17,2,5,1,114,10,92,178,7,120,12,7,2,Yes,4,Yes,DNB,DNB,DNB,DNB,DNB,No
Babar Azam,4,PSL X,22,2,5,3,147,4,100,143,9,120,53,49,3,No,0,Yes,DNB,DNB,DNB,DNB,DNB,No
Babar Azam,4,PSL X,25,2,5,6,110,3,78,108,10,115,8,13,3,Yes,1,Yes,DNB,DNB,DNB,DNB,DNB,No
Babar Azam,4,PSL X,27,2,5,2,214,5,120,237,4,120,94,49,3,Yes,3,Yes,DNB,DNB,DNB,DNB,DNB,No
Jahandad Khan,5,National T20,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Jahandad Khan,5,  Champions T20 2024-25,2,1,1,4,216,3,120,181,10,115,27,15,1,Yes,3,Yes,DNB,DNB,DNB,DNB,DNB,Yes
Jahandad Khan,5,  Champions T20 2024-25,17,1,1,2,147,9,120,118,10,111,16,9,8,YES,3,Yes,18,9,3,0,"1,2,5",Yes
Jahandad Khan,5,  Champions T20 2024-25,20,2,1,5,133,4,84,131,10,120,DNB,DNB,DNB,DNB,5,Yes,24,20,0,0,0,Yes
Jahandad Khan,5,  Champions T20 2024-25,22,1,1,2,199,5,120,124,10,115,22,10,6,No,0,Yes,24,31,2,0,"1,9",Yes
Jahandad Khan,5,PSL X,1,1,4,3,139,10,116,143,2,106,0,3,7,yes,2,Yes,16,22,0,0,0,Yes
Jahandad Khan,5,PSL X,4,1,4,1,219,6,120,140,10,98,DNB,DNB,DNB,DNB,5,Yes,12,34,0,0,0,Yes
Shamyl Hussain,6,National T20,1,2,3,1,73,5,79,159,6,120,6,10,1,YES,2,No,DNB,DNB,DNB,DNB,DNB,No
Shamyl Hussain,6,National T20,16,1,3,5,184,7,120,116,6,120,22,11,1,YES,1,No,DNB,DNB,DNB,DNB,DNB,No
Shamyl Hussain,6,National T20,19,1,3,4,166,4,120,130,10,117,75,54,1,YES,2,No,DNB,DNB,DNB,DNB,DNB,No
Shamyl Hussain,6,National T20,31,1,3,2,118,9,120,119,3,103,17,17,1,YES,1,No,DNB,DNB,DNB,DNB,DNB,No
Shamyl Hussain,6,  Champions T20 2024-25,4,1,1,3,162,5,120,150,7,120,4,3,1,YES,2,No,DNB,DNB,DNB,DNB,DNB,No
Shamyl Hussain,6,  Champions T20 2024-25,14,1,1,3,168,10,120,169,7,114,18,18,1,Yes,2,No,DNB,DNB,DNB,DNB,DNB,No
Shamyl Hussain,6,  Champions T20 2024-25,17,1,1,2,147,9,120,118,10,111,2,7,2,Yes,2,No,DNB,DNB,DNB,DNB,DNB,No
Shamyl Hussain,6,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Yasir Khan,7,National T20,5,1,3,2,104,10,111,105,7,79,4,2,1,YES,1,YES,DNB,DNB,DNB,,DNB,No
Yasir Khan,7,National T20,15,2,3,1,183,10,116,207,3,120,5,9,1,YES,1,YES,DNB,DNB,DNB,,DNB,No
Yasir Khan,7,National T20,23,1,3,4,218,3,120,127,10,104,2,6,1,YES,1,YES,DNB,DNB,DNB,,DNB,No
Yasir Khan,7,Champions T20 2024-25,2,1,1,4,216,3,120,181,10,115,27,15,1,Yes,2,YES,DNB,DNB,DNB,DNB,DNB,No
Yasir Khan,7,  Champions T20 2024-25,4,1,1,3,162,5,120,150,7,120,0,1,2,Yes,3,YES,DNB,DNB,DNB,DNB,DNB,No
Yasir Khan,7,  Champions T20 2024-25,7,2,1,2,167,5,120,170,6,120,17,10,1,Yes,2,YES,DNB,DNB,DNB,DNB,DNB,No
Yasir Khan,7,  Champions T20 2024-25,9,1,1,5,190,4,120,185,9,120,36,33,1,Yes,2,YES,DNB,DNB,DNB,DNB,DNB,No
Yasir Khan,7,  Champions T20 2024-25,11,2,1,4,170,4,120,168,7,120,20,13,1,Yes,4,YES,DNB,DNB,DNB,DNB,DNB,No
Yasir Khan,7,  Champions T20 2024-25,20,2,1,5,133,4,84,131,10,120,32,26,1,Yes,6,YES,DNB,DNB,DNB,DNB,DNB,No
Yasir Khan,7,  Champions T20 2024-25,22,1,1,2,199,5,120,124,10,115,100,57,2,YES,2,YES,DNB,DNB,DNB,DNB,DNB,No
Yasir Khan,7,PSL X,12,1,6,4,228,5,120,195,9,120,87,44,1,YES,2,YES,DNB,DNB,DNB,DNB,DNB,No
Yasir Khan,7,PSL X,13,1,6,3,168,5,120,171,3,103,29,17,1,YES,2,YES,DNB,DNB,DNB,DNB,DNB,No
Yasir Khan,7,PSL X,16,1,6,4,185,3,120,186,5,114,24,18,1,YES,2,YES,DNB,DNB,DNB,DNB,DNB,No
Yasir Khan,7,PSL X,18,1,6,1,89,10,102,90,0,41,5,4,1,YES,2,YES,DNB,DNB,DNB,DNB,DNB,No
Yasir Khan,7,PSL X,20,2,6,2,117,10,97,204,4,120,26,17,1,YES,2,YES,DNB,DNB,DNB,DNB,DNB,No
Yasir Khan,7,PSL X,25,1,6,5,108,10,115,110,3,78,10,11,1,YES,2,YES,DNB,DNB,DNB,DNB,DNB,No
Maaz Sadaqat,8,National T20,3,2,2,7,182,2,112,181,3,120,37,38,2,YES,2,YES,DNB,DNB,DNB,DNB,DNB,No
Maaz Sadaqat,8,National T20,23,2,2,9,167,9,120,183,3,120,4,6,2,YES,2,YES,DNB,DNB,DNB,DNB,DNB,No
Maaz Sadaqat,8,National T20,25,2,2,17,132,3,79,131,9,120,DNB,DNB,DNB,DNB,5,YES,12,9,0,0,0,No
Maaz Sadaqat,8,National T20,31,1,2,16,239,2,120,113,10,117,54,38,3,No,0,YES,DNB,DNB,DNB,DNB,DNB,No
Maaz Sadaqat,8,National T20,35,2,2,7,140,7,116,138,7,120,14,13,1,YES,2,YES,12,14,0,2,0,No
Maaz Sadaqat,8,National T20,37,1,2,4,234,3,120,187,8,120,34,17,3,YES,2,YES,DNB,DNB,DNB,DNB,DNB,No
Maaz Sadaqat,8,National T20,39,1,2,1,110,9,120,111,1,96,1,4,3,YES,4,YES,DNB,DNB,DNB,DNB,DNB,No
Maaz Sadaqat,8,  Champions T20 2024-25,2,1,1,4,216,3,120,181,10,115,19,16,2,Yes,2,YES,6,12,0,0,0,No
Maaz Sadaqat,8,  Champions T20 2024-25,4,1,1,3,162,5,120,150,7,120,32,29,3,YES,2,YES,DNB,DNB,DNB,DNB,DNB,No
Maaz Sadaqat,8,  Champions T20 2024-25,7,2,1,2,167,5,120,170,6,120,82,53,2,Yes,2,YES,18,19,1,0,2,No
Maaz Sadaqat,8,  Champions T20 2024-25,9,1,1,5,190,4,120,185,9,120,23,16,2,Yes,2,YES,12,24,0,0,0,No
Maaz Sadaqat,8,  Champions T20 2024-25,11,2,1,4,170,4,120,168,7,120,18,14,2,Yes,2,YES,18,26,0,0,0,No
Maaz Sadaqat,8,  Champions T20 2024-25,14,1,1,3,168,10,120,169,7,114,34,27,2,Yes,2,YES,12,16,2,0,"5,8",No
Maaz Sadaqat,8,  Champions T20 2024-25,17,1,1,2,147,9,120,118,10,111,20,19,1,YES,2,YES,18,21,1,0,9,No
Maaz Sadaqat,8,  Champions T20 2024-25,20,2,1,5,133,4,84,131,10,120,15,8,2,YES,2,YES,12,13,0,0,0,No
Maaz Sadaqat,8,PSL X,22,2,5,3,147,4,100,143,9,120,55,33,5,YES,2,YES,DNB,DNB,DNB,DNB,DNB,No
Maaz Sadaqat,8,PSL X,25,2,5,6,110,3,78,108,10,115,DNB,DNB,DNB,DNB,5,YES,18,12,2,0,"5,6",No
Maaz Sadaqat,8,PSL X,27,2,5,2,214,5,120,237,4,120,19,8,6,No,0,YES,DNB,DNB,DNB,DNB,DNB,No
Hussain Talat,9,National T20,6,2,1,4,98,1,58,97,10,110,DNB,DNB,DNB,DNB,5,No,18,19,1,0,7,No
Hussain Talat,9,National T20,13,2,1,1,134,10,113,171,5,120,3,10,4,YES,2,No,DNB,DNB,DNB,DNB,DNB,No
Hussain Talat,9,National T20,22,2,1,5,102,2,84,100,8,120,24,30,4,No,0,No,18,16,2,0,"6,7",No
Hussain Talat,9,National T20,31,2,1,3,119,3,103,118,9,120,DNB,DNB,DNB,DNB,5,No,18,14,4,0,"3,5,6,8",No
Hussain Talat,9,National T20,36,1,1,4,184,10,120,151,10,113,12,10,6,YES,2,No,18,25,2,0,"8,9",No
Hussain Talat,9,National T20,38,1,1,4,166,4,120,161,7,120,5,10,4,YES,2,No,12,31,0,0,0,No
Hussain Talat,9,National T20,39,2,1,2,110,9,120,111,1,96,DNB,DNB,DNB,DNB,5,No,24,21,0,0,0,No
Hussain Talat,9,  Champions T20 2024-25,2,1,1,4,216,3,120,181,10,115,101,50,4,No,0,No,DNB,DNB,DNB,DNB,DNB,No
Hussain Talat,9,  Champions T20 2024-25,4,1,1,3,162,5,120,150,7,120,51,36,5,No,0,No,DNB,DNB,DNB,DNB,DNB,No
Hussain Talat,9,  Champions T20 2024-25,7,2,1,2,167,5,120,170,6,120,9,7,5,YES,2,No,DNB,DNB,DNB,DNB,DNB,No
Hussain Talat,9,  Champions T20 2024-25,9,1,1,5,190,4,120,185,9,120,57,34,4,No,0,No,DNB,DNB,DNB,DNB,DNB,No
Hussain Talat,9,  Champions T20 2024-25,11,2,1,4,170,4,120,168,7,120,32,25,4,YES,2,No,DNB,DNB,DNB,DNB,DNB,No
Hussain Talat,9,  Champions T20 2024-25,14,1,1,3,168,10,120,169,7,114,43,29,6,YES,2,No,DNB,DNB,DNB,DNB,DNB,No
Hussain Talat,9,  Champions T20 2024-25,17,1,1,2,147,9,120,118,10,111,6,8,6,YES,2,No,DNB,DNB,DNB,DNB,DNB,No
Hussain Talat,9,  Champions T20 2024-25,20,2,1,5,133,4,84,131,10,120,11,9,5,YES,6,No,12,16,3,0,"8,10,11",No
Hussain Talat,9,  Champions T20 2024-25,22,1,1,2,199,5,120,124,10,115,9,9,4,YES,2,No,1,0,1,0,10,No
Hussain Talat,9,PSL X,2,2,5,1,136,10,96,216,3,120,35,19,5,Yes,2,No,1,8,0,0,0,No
Hussain Talat,9,PSL X,5,2,5,3,141,10,112,243,5,120,13,11,6,Yes,2,No,18,39,2,0,"4,5",No
Hussain Talat,9,PSL X,9,1,5,6,227,7,120,107,10,100,37,29,5,Yes,2,No,DNB,DNB,DNB,DNB,DNB,No
Hussain Talat,9,PSL X,11,1,5,2,147,8,120,148,8,117,18,16,5,Yes,2,No,3,9,0,0,0,No
