Player ID,Player Name,Tournament,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Of Own Team,Total Wickets Lost By Own Team,Total Balls Played By Own Team,Total Runs Of Opposition Team,Total Wickets Lost By Opposition Team,Total Balls Played By Opposition Team,Runs Made,Balls Consumed,Batting Position,Dismissed,Special Batting Talent,Balls Bowled,Runs Given,Wickets Taken,Maidens Bowled,Batters Dismissed,Special Bowling Talent
1,Abrar Ahmed Champions one,Champions T20 cup 2024,22,1,1,2,199,5,120,124,10,115,,,,,,24,35,1,0,3,
1,Abrar Ahmed Champions one,Champions T20 cup 2024,22,1,1,2,199,5,120,124,10,115,,,,,,24,35,1,0,3,
2,Haris Rauf Champions one,Champions T20 cup 2024,22,1,1,2,199,5,120,124,10,115,,,,,,18,28,0,0,,
2,Haris Rauf Champions one,Champions T20 cup 2024,22,1,1,2,199,5,120,124,10,115,,,,,,18,28,0,0,,
5,Jahandad Khan  Champions one,Champions T20 cup 2024,2,1,1,4,216,3,120,181,10,115,27,15,1,YES ,,,,,,,
5,Jahandad Khan  Champions one,Champions T20 cup 2024,17,1,1,2,147,9,120,118,10,111,19,9,8,YES,,18,9,3,0,"1,2,5",
5,Jahandad Khan  Champions one,Champions T20 cup 2024,20,2,1,5,133,4,84,131,10,120,,,,,,24,20,0,0,,
5,Jahandad Khan  Champions one,Champions T20 cup 2024,22,1,1,2,199,5,120,124,10,115,22,10,6,NO,,24,31,2,0,"1,9",
5,Jahandad Khan  Champions one,Champions T20 cup 2024,2,1,1,4,216,3,120,181,10,115,27,15,1,YES ,,,,,,,
5,Jahandad Khan  Champions one,Champions T20 cup 2024,17,1,1,2,147,9,120,118,10,111,19,9,8,YES,,18,9,3,0,"1,2,5",
5,Jahandad Khan  Champions one,Champions T20 cup 2024,20,2,1,5,133,4,84,131,10,120,,,,,,24,20,0,0,,
5,Jahandad Khan  Champions one,Champions T20 cup 2024,22,1,1,2,199,5,120,124,10,115,22,10,6,NO,,24,31,2,0,"1,9",
6,Shamyl Hussain Champions,National T-20 2025,1,2,3,1,73,5,79,159,6,120,6,10,1,YES,,,,,,,
6,Shamyl Hussain Champions,National T-20 2025,16,1,3,5,184,7,120,116,6,120,22,11,1,YES,,,,,,,
6,Shamyl Hussain Champions,National T-20 2025,19,1,3,4,166,4,120,130,10,117,75,54,1,YES,,,,,,,
6,Shamyl Hussain Champions,National T-20 2025,31,1,3,2,118,9,120,119,3,103,17,17,1,YES,,,,,,,
6,Shamyl Hussain Champions,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
6,Shamyl Hussain Champions,Champions T20 cup 2024,4,1,1,3,162,5,120,150,7,120,4,3,1,YES,,,,,,,
6,Shamyl Hussain Champions,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
6,Shamyl Hussain Champions,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
6,Shamyl Hussain Champions,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
6,Shamyl Hussain Champions,Champions T20 cup 2024,14,1,1,3,168,10,120,169,7,114,18,18,1,YES ,,,,,,,
6,Shamyl Hussain Champions,Champions T20 cup 2024,17,1,1,2,147,9,120,118,10,111,2,7,2,YES ,,,,,,,
6,Shamyl Hussain Champions,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
6,Shamyl Hussain Champions,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
6,Shamyl Hussain Champions,National T-20 2025,1,2,3,1,73,5,79,159,6,120,6,10,1,YES,,,,,,,
6,Shamyl Hussain Champions,National T-20 2025,16,1,3,5,184,7,120,116,6,120,22,11,1,YES,,,,,,,
6,Shamyl Hussain Champions,National T-20 2025,19,1,3,4,166,4,120,130,10,117,75,54,1,YES,,,,,,,
6,Shamyl Hussain Champions,National T-20 2025,31,1,3,2,118,9,120,119,3,103,17,17,1,YES,,,,,,,
6,Shamyl Hussain Champions,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
6,Shamyl Hussain Champions,Champions T20 cup 2024,4,1,1,3,162,5,120,150,7,120,4,3,1,YES,,,,,,,
6,Shamyl Hussain Champions,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
6,Shamyl Hussain Champions,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
