Player ID,Player Name,Tournament,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Of Own Team,Total Wickets Lost By Own Team,Total Balls Played By Own Team,Total Runs Of Opposition Team,Total Wickets Lost By Opposition Team,Total Balls Played By Opposition Team,Runs Made,Balls Consumed,Batting Position,Dismissed,Special Batting Talent,Balls Bowled,Runs Given,Wickets Taken,Maidens Bowled,Batters Dismissed,5
1,Abrar Ahmed Champions one,Champions one day cup 2024,2,1,3,4,336,5,300,203,10,337,,,,,,60,1,1,8,39,
1,Abrar Ahmed Champions one,Champions one day cup 2024,4,2,3,1,105,10,142,231,10,270,6,6,10,YES,,54,1,0,3,42,
1,Abrar Ahmed Champions one,Champions one day cup 2024,7,1,3,5,271,7,300,97,10,150,,,,,,48,2,2,"1,7",15,
1,Abrar Ahmed Champions one,Champions one day cup 2024,9,2,3,1,324,10,297,344,7,300,9,5,10,NO,,60,1,0,2,69,
1,Abrar Ahmed Champions one,Champions one day cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
1,Abrar Ahmed Champions one,Champions T20 cup 2024,22,1,1,2,199,5,120,124,10,115,,,,,,24,1,0,3,35,
2,Haris Rauf Champions one,Champions one day cup 2024,2,1,3,4,336,5,300,203,10,337,,,,,,45,3,1,"6,9,10",43,
2,Haris Rauf Champions one,Champions one day cup 2024,4,2,3,2,105,10,142,231,10,270,5,9,9,YES,,42,0,2,,30,
2,Haris Rauf Champions one,Champions one day cup 2024,7,1,3,5,271,7,300,97,10,150,3,5,9,YES,,24,2,0,"5,6",28,
2,Haris Rauf Champions one,Champions one day cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
2,Haris Rauf Champions one,Champions one day cup 2024,12,2,3,4,251,10,297,263,9,300,7,7,9,YES,,60,1,0,10,57,
2,Haris Rauf Champions one,Champions T20 cup 2024,22,1,1,2,199,5,120,124,10,115,,,,,,18,0,0,,28,
2,Haris Rauf Champions one,President's Trophy Grade-I 2024,9,1,7,2,242,10,440,300,10,459,9,25,8,YES,,96,2,2,"2,3",59,
2,Haris Rauf Champions one,President's Trophy Grade-I 2024,,3,,,139,10,315,85,3,89,9,25,9,YES,,29,1,0,1,28,
2,Haris Rauf Champions one,President's Trophy Grade-I 2024,13,1,7,6,334,10,587,280,10,491,4,7,9,YES,,84,2,0,"1,2",42,
2,Haris Rauf Champions one,President's Trophy Grade-I 2024,,3,,,152,10,290,207,6,318,7,14,9,YES,,48,1,3,2,24,
3,Shan Masood Champions one,Champions one day cup 2024,2,1,3,4,336,5,300,203,10,337,76,79,3,YES,,,,,,,
3,Shan Masood Champions one,Champions one day cup 2024,4,2,3,1,105,10,142,231,10,270,19,21,2,YES,,,,,,,
3,Shan Masood Champions one,Champions one day cup 2024,7,1,3,5,271,7,300,97,10,150,34,36,1,YES,,,,,,,
3,Shan Masood Champions one,Champions one day cup 2024,9,2,3,1,324,10,297,344,7,300,8,11,2,YES,,,,,,,
3,Shan Masood Champions one,Champions one day cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
3,Shan Masood Champions one,President's Trophy Grade-I 2024,24,1,3,6,406,10,583,499,10,826,67,60,1,YES,,,,,,,
3,Shan Masood Champions one,President's Trophy Grade-I 2024,,3,,,288,10,608,31,1,54,1,10,1,YES,,,,,,,
3,Shan Masood Champions one,President's Trophy Grade-I 2024,25,2,3,7,435,10,702,270,10,503,35,43,3,YES,,,,,,,
3,Shan Masood Champions one,President's Trophy Grade-I 2024,,4,,,176,5,212,340,10,519,,,,,,,,,,,
4,Baber Azam Champions one,Champions one day cup 2024,2,1,3,4,336,5,300,203,10,337,41,53,1,YES,YES,,,,,,
4,Baber Azam Champions one,Champions one day cup 2024,4,2,3,1,105,10,142,231,10,270,45,45,3,YES,YES,,,,,,
4,Baber Azam Champions one,Champions one day cup 2024,7,1,3,5,271,7,300,97,10,150,104,100,3,NO,YES,,,,,,
4,Baber Azam Champions one,Champions one day cup 2024,9,2,3,1,324,10,297,344,7,300,5,9,3,NO,YES,,,,,,
4,Baber Azam Champions one,Champions one day cup 2024,DNP,,,,,,,,,,,,,,YES,,,,,,
5,Jahandad Khan  Champions one,QAT 2025,5,2,R 3,R 5,529,10,715,256,10,371,33,23,8,YES,,90,4,3,"1,4,5",43,
5,Jahandad Khan  Champions one,QAT 2025,,4,,,72,4,84,493,10,742,,,,,,126,4,4,"2,3,6,8",107,
5,Jahandad Khan  Champions one,Champions one day cup 2024,2,1,3,4,336,5,300,203,10,337,,,,,,36,2,0,"2,4",33,
5,Jahandad Khan  Champions one,Champions one day cup 2024,4,2,3,1,105,10,142,231,10,270,8,9,7,YES,,60,4,1,"1,5,9,11",49,
5,Jahandad Khan  Champions one,Champions one day cup 2024,7,1,3,5,271,7,300,97,10,150,8,8,7,YES,,30,3,1,"1,3,4",18,
5,Jahandad Khan  Champions one,Champions one day cup 2024,9,2,3,1,324,10,297,344,7,300,24,19,7,YES,,64,1,0,6,55,
5,Jahandad Khan  Champions one,Champions one day cup 2024,12,2,3,4,251,10,297,263,9,300,36,31,8,YES,,36,0,0,,35,
5,Jahandad Khan  Champions one,Champions T20 cup 2024,2,1,1,4,216,3,120,181,10,115,27,15,1,YES,,,,,,,
5,Jahandad Khan  Champions one,Champions T20 cup 2024,17,1,1,2,147,9,120,118,10,111,19,9,8,YES,,18,3,0,"1,2,5",9,
5,Jahandad Khan  Champions one,Champions T20 cup 2024,20,2,1,5,133,4,84,131,10,120,,,,,,24,0,0,,20,
5,Jahandad Khan  Champions one,Champions T20 cup 2024,22,1,1,2,199,5,120,124,10,115,22,10,6,NO,,24,2,0,"1,9",31,
