Player ID,Match ID,Innings Number,Team standing,Opposition standing,Total Runs Made by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs Made by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs made,Balls consumed,Batting position,Dismissed,Special Batting Talent,Balls bowled,Wickets taken,Maidens bowled,Batters Dismissed,Special Bowling Talent,Tournament
46,4,2,R4,Triangular 2,466,10,764,546,10,769,11,28,10,Yes,No,165,2,3,"2,5",No,QAT 2025
46,4,,R4,Triangular 2,Na,Na,Na,360,3,462,DNB,DNB,DNB,DNB,No,110,1,1,1,No,QAT 2025
46,33,1,4,6,356,10,449,288,10,519,0,9,10,No,No,160,4,5,"1,6,8,10",No,QAT 2025
46,33,3,4,6,159,8,234,112,5,222,1,6,9,Yes,No,75,1,0,5,No,QAT 2025
46,45,2,4,2,214,10,382,248,10,435,2,10,9,Yes,No,99,3,3,"2,3,6",No,QAT 2025
46,45,4,4,2,102,10,153,266,9,229,6,17,9,Yes,No,84,1,1,4,No,QAT 2025
46,4,2,3,5,142,0,84,141,7,120,DNB,DNB,DNB,DNB,No,12,0,0,0,No,National T20 2025
46,1,1,7,1,406,10,589,333,10,490,12,20,9,Yes,No,97,3,1,"1,4,8",No,President Trophy T20 2025
46,1,3,7,1,261,10,372,335,6,402,1,12,9,Yes,No,84,3,3,"3,4,7",No,President Trophy T20 2025
46,5,2,2,4,198,10,433,197,10,389,0,7,8,Yes,No,36,0,1,0,No,President Trophy T20 2025
46,5,4,2,4,180,3,268,178,10,364,DNB,DNB,DNB,DNB,No,65,1,1,4,No,President Trophy T20 2025
