Player ID,Match ID,Innings Number,Team standing,Opposition standing,Total Runs Made by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs Made by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs made,Balls consumed,Batting position,Dismissed,Special Batting Talent,Balls bowled,Wickets taken,Maidens bowled,Batters Dismissed,Special Bowling Talent,Tournament
55,7,1,1,4,199,4,120,137,8,120,60*,24,5,No,yes,,,,,,National T20 2025
55,14,1,1,3,207,3,120,183,10,116,12*,4,5,No,yes,,,,,,National T20 2025
55,21,1,1,2,134,10,118,135,2,99,16,10,6,Yes,yes,,,,,,National T20 2025
55,35,1,1,2,138,7,120,140,7,116,9,11,5,Yes,yes,,,,,,National T20 2025
55,3,2,5,2,278,10,282,328,10,298,10,9,6,Yes,yes,,,,,No,Champions One Day cup 2024-25
55,6,2,5,1,192,10,263,284,9,300,50,43,6,Yes,yes,,,,,No,Champions One Day cup 2024-25
55,7,2,5,3,97,10,150,271,7,300,21,28,7,Yes,yes,,,,,No,Champions One Day cup 2024-25
55,10,1,5,4,326,10,297,310,8,300,7,10,6,Yes,yes,,,,,No,Champions One Day cup 2024-25
55,3,1,1,4,320,8,300,250,7,270,12,25,5,Yes,Yes,,,,,No,President Cup 2024-25
55,10,2,1,5,169,1,155,166,10,230,DNB,DNB,DNB,DNB,Yes,,,,,President Cup 2024-25,
55,12,2,1,2,156,10,215,249,9,270,13,19,5,Yes,Yes,,,,,President Cup 2024-25,
55,15,2,1,3,224,8,258,220,10,265,44,43,5,Yes,Yes,,,,,President Cup 2024-25,
55,18,2,1,2,271,10,257,342,9,300,2,4,4,Yes,Yes,,,,,President Cup 2024-25,
