Player ID,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Made by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs Made by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs made,Balls consumed,Batting position,Dismissed,Special Batting Talent,Balls bowled,Wickets taken,Maidens bowled,Batters Dismissed,Special Bowling Talent,Tournament
80,3,1,0,0,341,10,464,224,10,362,69,96,2,YES,,DNB,DNB,DNB,DNB,,President Trophy
80,3,2,0,0,288,8,426,213,10,389,119,171,2,YES,,DNB,DNB,DNB,DNB,,President Trophy
80,6,1,0,0,293,10,485,379,10,476,46,78,2,YES,,DNB,DNB,DNB,DNB,,President Trophy
80,6,2,0,0,99,10,149,342,10,339,0,2,2,YES,,DNB,DNB,DNB,DNB,,President Trophy
80,13,1,0,0,164,10,376,531,9,684,18,31,2,YES,,DNB,DNB,DNB,DNB,,President Trophy
80,13,2,0,0,279,10,415,DNB,DNB,DNB,822,131,2,YES,,DNB,DNB,DNB,DNB,,President Trophy
80,20,1,0,0,325,10,558,187,10,289,100,235,2,YES,,DNB,DNB,DNB,DNB,,President Trophy
80,20,2,0,0,159,4,219,292,10,377,41,56,2,YES,,DNB,DNB,DNB,DNB,,President Trophy
80,22,2,0,0,195,2,372,221,3,246,26,41,2,YES,,DNB,DNB,DNB,DNB,,President Trophy
80,29,2,0,0,277,6,636,335,5,494,6,14,2,YES,,DNB,DNB,DNB,DNB,,President Trophy
80,36,2,0,0,306,10,453,110,3,96,0,2,2,YES,,DNB,DNB,DNB,DNB,,President Trophy
80,4,2,0,0,535,8,953,391,10,610,51,89,2,YES,,DNB,DNB,DNB,DNB,,QAT
80,15,2,0,0,439,10,802,263,10,453,78,180,2,YES,,DNB,DNB,DNB,DNB,,QAT
80,15,2,0,0,37,0,35,212,10,467,4,12,2,NO,,DNB,DNB,DNB,DNB,,QAT
80,26,1,0,0,451,10,601,107,7,204,130,219,2,YES,,DNB,DNB,DNB,DNB,,QAT
80,36,2,0,0,185,4,366,DNB,DNB,DNB,3,10,2,YES,,DNB,DNB,DNB,DNB,,QAT
80,45,2,0,0,99,2,113,224,10,366,23,35,2,YES,,DNB,DNB,DNB,DNB,,QAT
80,46,2,0,0,410,10,799,171,10,277,203,407,2,NO,,DNB,DNB,DNB,DNB,,QAT
80,48,1,0,0,465,10,717,639,10,919,168,293,2,YES,,6,0,0,,QAT,
80,49,2,0,0,245,10,510,258,10,481,19,16,2,YES,,DNB,DNB,DNB,DNB,,QAT
80,1,2,0,0,186,10,209,347,6,300,1,6,3,YES,,DNB,DNB,DNB,DNB,,Champions One Day
80,5,1,0,0,283,10,281,199,10,212,1,3,2,YES,,DNB,DNB,DNB,DNB,,Champions One Day
80,9,1,0,0,344,7,300,324,10,297,51,77,2,YES,,DNB,DNB,DNB,DNB,,Champions One Day
80,11,2,0,0,143,3,142,137,10,215,13,20,2,YES,,DNB,DNB,DNB,DNB,,Champions One Day
