Player ID,Match ID,Innings Number,Team standing,Opposition standing,Total Runs Made by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs Made by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs made,Balls consumed,Batting position,Dismissed,Special Batting Talent,Balls bowled,Wickets taken,Maidens bowled,Batters Dismissed,Special Bowling Talent,Tournament
56,1,2,R4,R1,91,10,186,274,10,544,8,11,6,Yes,yes,103,0,2,0,yes,QAT 2025
56,1,3,R4,R1,301,10,518,122,5,147,52,110,8,Yes,yes,22,0,0,0,yes,QAT 2025
56,36,2,4,6,196,10,204,91,10,244,20,28,8,Yes,yes,32,2,2,"3,4",yes,QAT 2025
56,36,4,4,6,175,6,270,277,10,392,28*,21,8,No,yes,74,1,2,1,yes,QAT 2025
56,41,1,4,2,202,10,287,153,10,299,39,40,6,Yes,yes,79,3,3,"5,6,9",yes,QAT 2025
56,41,3,4,2,346,10,445,148,10,245,21,38,6,Yes,yes,36,1,0,4,yes,QAT 2025
56,3,2,5,2,278,10,282,328,10,298,41,35,7,Yes,yes,65,1,1,5,yes,Champions One Day cup 2024-25
56,6,2,5,1,192,10,263,284,9,300,15,28,7,Yes,yes,48,4,0,"5,6,7,8",yes,Champions One Day cup 2024-25
56,7,2,5,3,97,10,150,271,7,300,4,7,8,Yes,yes,57,1,0,1,yes,Champions One Day cup 2024-25
56,10,1,5,4,326,10,297,310,8,300,30,20,8,Yes,yes,56,1,1,9,yes,Champions One Day cup 2024-25
