Player ID,Match ID,Innings Number,Team standing,Opposition standing,Total Runs Made by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs Made by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs made,Balls consumed,Batting position,Dismissed,Special Batting Talent,Balls bowled,Wickets taken,Maidens bowled,Batters Dismissed,Special Bowling Talent,Tournament
69,4,2,3,5,142,0,84,141,7,120,DNB,DNB,DNB,DNB,No,,,,,,National T20 2025
69,10,2,3,4,140,3,100,138,9,120,5,12,3,Yes,No,,,,,,National T20 2025
69,23,1,3,2,183,3,120,167,9,120,17,18,3,Yes,No,,,,,,National T20 2025
69,30,2,3,1,138,9,120,146,8,120,5,4,3,Yes,No,,,,,,National T20 2025
69,4,2,R4,Triangular 2,466,10,764,546,10,769,75,72,7,Yes,No,,,,,,QAT 2025
69,14,2,4,5,170,10,330,260,10,468,42,60,7,Yes,No,,,,,,QAT 2025
69,14,4,4,5,216,7,255,125,10,306,68,67,6,Yes,No,,,,,,QAT 2025
69,3,1,5,4,160,8,120,161,2,96,27,16,6,Yes,No,,,,,,Champions T20 cup 2024-25
69,15,1,5,2,139,8,120,140,2,85,4,4,8,Yes,No,,,,,,Champions T20 cup 2024-25
69,18,1,5,3,71,10,96,72,3,54,1,8,6,Yes,No,,,,,,Champions T20 cup 2024-25
