Player ID,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Made by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs Made by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs made,Balls consumed,Batting position,Dismissed,Special Batting Talent,Balls bowled,Wickets taken,Maidens bowled,Batters Dismissed,Special Bowling Talent,Tournament
45,4,2.0,3,5,142.0,0.0,84.0,141.0,7.0,120.0,,,DNB,DNB,,,,,,NO,National T20 2025
45,10,2.0,3,4,140.0,3.0,100.0,138.0,9.0,120.0,,,DNB,DNB,,,,,,NO,National T20 2025
45,23,1.0,3,2,183.0,3.0,120.0,167.0,9.0,120.0,6.0,4.0,5,No,NO,,,,,NO,National T20 2025
45,30,2.0,3,1,138.0,9.0,120.0,146.0,8.0,120.0,32.0,26.0,6,yes,NO,,,,,NO,National T20 2025
45,6,2.0,4,5,60.0,10.0,161.0,147.0,10.0,297.0,8.0,47.0,5,yes,No,,,,,No,QAT 2025
45,6,4.0,4,5,206.0,1.0,414.0,115.0,10.0,236.0,,,DNB,DNB,,,,,,No,QAT 2025
45,16,1.0,4,3,220.0,10.0,445.0,224.0,10.0,457.0,0.0,9.0,4,yes,No,7.0,1.0,0.0,1,No,QAT 2025
45,16,3.0,4,3,209.0,10.0,480.0,206.0,6.0,422.0,24.0,73.0,4,yes,No,14.0,0.0,0.0,0,No,QAT 2025
45,19,1.0,4,2,259.0,10.0,566.0,18.0,1.0,30.0,31.0,62.0,6,yes,No,,,,,No,QAT 2025
45,19,,4,2,,,,,,,,,DNB,DNB,,,,,,NO,QAT 2025
45,45,1.0,4,Triangular 1,171.0,10.0,286.0,297.0,10.0,593.0,28.0,49.0,4,yes,No,,,,,NO,QAT 2025
45,45,3.0,4,Triangular 1,224.0,10.0,366.0,99.0,2.0,113.0,4.0,18.0,4,yes,No,,,,,NO,QAT 2025
45,2,1.0,4,2,111.0,10.0,228.0,113.0,1.0,69.0,19.0,42.0,2,Yes,NO,,,,,No,President Cup 2024-25
45,11,1.0,4,3,222.0,10.0,291.0,223.0,2.0,219.0,0.0,1.0,5,Yes,No,,,,,NO,President Cup 2024-25
