Player ID,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Made by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs Made by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs made,Balls consumed,Batting position,Dismissed,Special Batting Talent,Balls bowled,Wickets taken,Maidens bowled,Batters Dismissed,Special Bowling Talent,Tournament
42,7,1,1,4,199,4,120,137,8,120,,,DNB,DNB,NO,24.0,1.0,0.0,2,No,National T20 2025
42,14,1,1,3,207,3,120,183,10,116,,,DNB,DNB,No,24.0,1.0,0.0,2,no,National T20 2025
42,21,1,1,2,134,10,118,135,2,99,1.0,1.0,11,yes,no,21.0,1.0,0.0,2,no,National T20 2025
42,35,1,1,2,138,7,120,140,7,116,,,DNB,DNB,No,25.0,1.0,0.0,1,No,National T20 2025
42,1,2,R4,R1,91,10,186,274,10,544,0.0,3.0,9,yes,No,126.0,5.0,4.0,"2,4,5,8,9",No,QAT 2025
42,1,3,R4,R1,301,10,518,122,5,147,1.0,7.0,9,yes,No,60.0,3.0,1.0,"1,3,4",No,QAT 2025
42,13,2,4,3,189,10,357,405,10,602,4.0,17.0,9,yes,No,126.0,3.0,2.0,"1,8,9",No,QAT 2025
42,13,4,4,3,285,10,612,203,8,296,0.0,7.0,9,yes,No,62.0,2.0,3.0,"2,7",No,QAT 2025
42,24,1,3,6,406,10,583,499,10,826,0.0,5.0,10,yes,No,,,,DNB,No,President Trophy 2025
42,24,3,3,6,288,10,608,31,1,54,0.0,5.0,11,yes,No,32.0,0.0,0.0,0,No,President Trophy 2025
42,25,2,3,7,435,10,702,270,10,503,24.0,40.0,9,yes,No,127.0,5.0,5.0,"1,2,6,9,10",No,President Trophy 2025
42,25,4,3,7,176,5,212,340,10,519,,,DNB,DNB,No,102.0,1.0,2.0,1,No,President Trophy 2025
42,30,2,3,2,204,10,294,233,10,331,5.0,9.0,6,yes,No,66.0,1.0,1.0,10,No,President Trophy 2025
42,30,4,3,2,153,5,195,123,10,148,,,DNB,DNB,No,36.0,0.0,1.0,0,No,President Trophy 2025
42,36,1,3,5,286,10,486,132,10,168,2.0,22.0,9,yes,No,66.0,4.0,4.0,"1,2,4,7",No,President Trophy 2025
42,36,3,3,5,270,10,348,145,10,241,29.0,31.0,9,yes,No,53.0,6.0,4.0,"5,7,8,9,10,11",No,President Trophy 2025
