Player ID,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Made by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs Made by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs made,Balls consumed,Batting position,Dismissed,Special Batting Talent,Balls bowled,Wickets taken,Maidens bowled,Batters Dismissed,Special Bowling Talent,Tournament
50,3,1,1,2,181,3,120,182,2,112,15.0,15.0,3,yes,no,,,,,No,National T20 2025
50,12,1,1,5,215,4,120,81,10,107,35.0,26.0,3,yes,no,,,,,No,National T20 2025
50,28,2,1,4,88,0,71,86,7,120,,,DNB,DNB,no,,,,,No,National T20 2025
50,33,1,1,2,130,5,120,131,4,107,59.0,49.0,3,yes,no,,,,,No,National T20 2025
50,23,2,Triangular3,2,240,10,390,167,10,286,1.0,3.0,6,yes,No,,,,,No,QAT 2025
50,23,4,Triangular3,2,113,5,152,155,10,296,42.0,32.0,6,yes,No,,,,,No,QAT 2025
50,35,2,Triangular3,3,227,10,312,174,10,322,1.0,4.0,7,yes,No,,,,,No,QAT 2025
50,48,2,Triangular 3,Triangular 1,639,10,919,465,10,717,19.0,21.0,5,yes,No,,,,,No,QAT 2025
50,3,2,5,2,278,10,282,328,10,298,16.0,22.0,3,yes,No,,,,,No,Champions One Day cup 2024-25
50,10,1,5,4,326,10,297,310,8,300,52.0,50.0,3,yes,No,,,,,No,Champions One Day cup 2024-25
50,5,1,5,2,128,9,120,132,8,113,40.0,33.0,3,yes,No,,,,,No,Champions T0 cup 2024-25
50,13,1,5,4,106,9,120,109,4,90,19.0,21.0,6,yes,No,,,,,No,Champions T0 cup 2024-25
50,2,2,1,3,239,2,231,238,10,300,45.0,41.0,2,Yes,,,,,,No,President cup 2024-25
50,6,2,1,4,246,6,228,312,4,300,116.0,101.0,2,Yes,,,,,,No,President cup 2024-25
50,3,1,5,6,268,10,501,151,10,300,13.0,24.0,2,yes,No,,,,,No,President Trophy 2024-25
50,3,3,5,6,313,7,466,140,10,243,125.0,181.0,2,yes,No,,,,,No,President Trophy 2024-25
