Player ID,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Made by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs Made by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs made,Balls consumed,Batting position,Dismissed,Special Batting Talent,Balls bowled,Wickets taken,Maidens bowled,Batters Dismissed,Special Bowling Talent,Tournament
71,8,2,5,3,159,10,118,194,5,120,0.0,2.0,11,yes,No,6.0,0.0,0.0,0,No,Champions T20 cup 2024-25
71,9,2,5,1,185,9,120,190,4,120,3.0,4.0,9,No,No,25.0,2.0,0.0,"1,3",No,Champions T20 cup 2024-25
71,18,1,5,3,71,10,96,72,3,54,11.0,18.0,10,yes,No,,,,,No,Champions T20 cup 2024-25
71,20,1,5,1,131,10,120,133,4,84,1.0,2.0,10,yes,No,24.0,2.0,0.0,"1,5",No,Champions T20 cup 2024-25
71,14,1,5,3,178,10,232,182,5,199,3.0,18.0,10,Yes,No,55.0,3.0,0.0,"2,3,4",No,President cup 2024-25
71,8,1,3,9,379,10,476,293,10,485,0.0,6.0,9,yes,No,114.0,3.0,2.0,"4,6,7",No,President Trophy 2024-25
71,8,3,3,9,242,10,339,99,10,149,50.0,45.0,8,yes,No,17.0,1.0,0.0,9,No,President Trophy 2024-25
71,12,2,3,8,191,10,226,140,10,275,19.0,20.0,8,yes,No,24.0,0.0,0.0,0,No,President Trophy 2024-25
71,12,4,3,8,103,0,82,152,10,282,,,DNB,DNB,No,12.0,0.0,0.0,0,No,President Trophy 2024-25
71,17,1,3,1,238,10,332,325,10,513,21.0,42.0,9,yes,No,162.0,6.0,2.0,"1,5,6,7,8,9",No,President Trophy 2024-25
71,17,3,3,1,329,10,494,248,3,254,15.0,32.0,9,yes,No,84.0,2.0,0.0,"2,3",No,President Trophy 2024-25
71,24,1,3,6,406,10,583,499,10,826,14.0,30.0,9,No,No,204.0,5.0,2.0,"1,2,3,6,9",No,President Trophy 2024-25
71,24,3,3,6,288,10,608,31,1,54,3.0,31.0,8,yes,No,,,,,No,President Trophy 2024-25
71,25,2,3,7,435,10,702,270,10,503,0.0,4.0,8,yes,No,102.0,1.0,1.0,8,No,President Trophy 2024-25
71,25,4,3,7,176,5,212,340,10,519,7.0,8.0,7,No,No,168.0,3.0,3.0,"4,5,6",No,President Trophy 2024-25
