Player ID,Match ID,Innings Number,Team standing,Opposition standing,Total Runs Made by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs Made by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs made,Balls consumed,Batting position,Dismissed,Special Batting Talent,Balls bowled,Wickets taken,Maidens bowled,Batters Dismissed,Special Bowling Talent,Tournament
19,5,1,3,2,104,10,111,105,7,79,6,6,1,YES,NA,12,0,0,0,NA,National T20
19,15,2,3,1,183,10,116,207,3,120,51,24,1,YES,NA,24,0,0,0,NA,National T20
19,23,1,3,4,218,3,120,127,10,104,DNB,NA,NA,NA,NA,12,0,1,DNB,NA,National T20
19,37,2,R 3,R 1,348,10,529,393,10,613,26,47,8,YES,NA,180,3,4,"2,3,4",NA,QAT
19,37,4,R 3,R 1,214,10,387,195,10,318,0,1,9,YES,NA,132,5,3,"2,3,6,7,9",NA,QAT
19,2,1,3,4,336,5,300,203,10,337,DNB,NA,NA,NA,NA,48,1,0,7,NA,Champions One Day
19,4,2,3,1,105,10,142,231,10,270,0,3,8,YES,NA,60,3,0,"4,6,7",NA,Champions One Day
19,7,1,3,5,271,7,300,97,10,150,3,5,8,YES,NA,24,3,0,"8,10,11",NA,Champions One Day
19,9,2,3,1,324,10,297,344,7,300,8,11,8,YES,NA,24,0,0,NA,NA,Champions One Day
19,9,1,1,5,190,4,120,185,9,120,DNB,NA,NA,NA,NA,24,2,0,"2,3",NA,Champions T20
19,13,1,7,6,334,10,587,280,10,491,1,4,8,YES,NA,132,1,5,6,NA,President's Trophy Grade-I
19,13,3,7,6,152,10,290,207,6,318,39,48,8,NO,NA,66,0,0,NA,NA,President's Trophy Grade-I
