Player ID,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Made by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs Made by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs made,Balls consumed,Batting position,Dismissed,Special Batting Talent,Balls bowled,Wickets taken,Maidens bowled,Batters Dismissed,Special Bowling Talent,Tournament
43,9,2.0,3,6,178.0,10.0,368.0,310,10,619,0,5.0,11,No,No,169,3,7,"5,6,7",No,QAT 2025
43,9,4.0,3,6,200.0,10.0,333.0,187,10,360,25,43.0,10,yes,No,108,2,4,"1,6",No,QAT 2025
43,16,2.0,3,4,224.0,10.0,457.0,220,10,445,4*,21.0,11,No,No,102,1,2,9,No,QAT 2025
43,16,4.0,3,4,206.0,6.0,422.0,209,10,480,,,DNB,DNB,No,67,1,2,3,No,QAT 2025
43,26,2.0,3,5,150.0,10.0,358.0,101,10,274,6,10.0,11,yes,No,120,3,7,"1,2,6",No,QAT 2025
43,26,4.0,3,5,76.0,2.0,44.0,122,10,325,,,DNB,DNB,No,150,4,9,"3,4,8,9",No,QAT 2025
43,30,1.0,3,Triangular 1,439.0,7.0,607.0,263,10,486,,,DNB,DNB,No,138,6,11,"1,2,3,4,5,6",No,QAT 2025
43,44,1.0,Triangular 9,2,287.0,10.0,386.0,233,10,342,1*,8.0,11,No,No,132,6,10,"1,2,3,4,5,8",No,QAT 2025
43,44,3.0,Triangular 10,2,120.0,10.0,190.0,178,4,278,1*,1.0,11,No,No,93,4,4,"1,3,4,5",No,QAT 2025
43,19,1.0,2,2,342.0,9.0,300.0,271,10,257,3,5.0,11,No,No,48,1,0,1,No,President Cup 2024-25
43,19,2.0,2,2,169.0,3.0,262.0,165,10,225,,,DNB,DNB,No,55,3,1,"2,6,9",No,President Cup 2024-25
43,16,2.0,2,,276.0,8.0,251.0,275,9,252,,,DNB,DNB,No,57,0,0,0,No,President Cup 2024-25
43,11,2.0,2,,344.0,8.0,282.0,379,4,300,,,DNB,DNB,No,63,2,2,"2,3",No,President Cup 2024-25
43,6,2.0,2,1,414.0,9.0,589.0,93,10,259,,,DNB,DNB,No,84,2,5,"1,5",No,President Trophy 2024-25
43,6,,2,1,,,,215,10,405,,,DNB,DNB,No,72,2,4,"1,6",No,President Trophy 2024-25
43,19,2.0,2,8,155.0,10.0,278.0,126,10,240,0*,17.0,10,No,No,72,2,4,"1,9",No,President Trophy 2024-25
43,19,4.0,2,8,295.0,6.0,599.0,321,10,519,,,DNB,DNB,No,108,1,3,7,No,President Trophy 2024-25
43,23,1.0,2,9,415.0,10.0,670.0,275,10,493,1*,5.0,10,No,No,126,1,6,7,No,President Trophy 2024-25
43,23,3.0,2,9,221.0,3.0,246.0,197,10,295,,,DNB,DNB,No,102,4,3,"1,4,6,8",No,President Trophy 2024-25
43,30,1.0,2,3,233.0,10.0,331.0,204,10,294,0,6.0,9,No,NO,104,4,3,"5,8,9,10",No,President Trophy 2024-25
43,30,3.0,2,3,123.0,10.0,148.0,153,5,195,0,6.0,10,yes,No,57,3,2,"2,5,6",No,President Trophy 2024-25
43,37,1.0,2,1,205.0,10.0,324.0,317,10,536,7,48.0,10,No,No,145,3,4,"4,9,10",No,President Trophy 2024-25
43,37,3.0,2,1,264.0,10.0,458.0,154,7,241,12,31.0,10,No,No,108,2,6,"4,8",No,President Trophy 2024-25
