Player ID,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Made by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs Made by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs made,Balls consumed,Batting position,Dismissed,Special Batting Talent,Balls bowled,Wickets taken,Maidens bowled,Batters Dismissed,Special Bowling Talent,Tournament
54,6,2,2,4,98,1,58,97,10,110,,,DNB,DNB,yes,24.0,3.0,0.0,"2,4,6",yes,National T20 2025
54,15,2,2,1,134,10,113,171,5,120,36,28.0,5,yes,yes,24.0,1.0,0.0,3,yes,National T20 2025
54,23,2,2,5,102,2,84,100,8,120,,,DNB,DNB,yes,24.0,0.0,0.0,0,yes,National T20 2025
54,31,2,2,3,119,3,103,118,9,120,,,DNB,DNB,yes,13.0,0.0,0.0,0,yes,National T20 2025
54,36,1,2,1,184,10,120,151,10,113,10,6.0,4,yes,yes,,,,,yes,National T20 2025
54,38,1,2,2,166,4,120,161,7,120,14*,12.0,6,No,yes,24.0,1.0,0.0,1,yes,National T20 2025
54,39,2,1,2,111,1,96,110,9,120,,,DNB,DNB,yes,6.0,1.0,0.0,4,yes,National T20 2025
39,4,2,3,5,142,0,84,141,7,120,,,DNB,DNB,DNB,,,,,yes,National T20 2025
39,10,2,3,4,140,3,100,138,9,120,56*,30.0,5,No,yes,26.0,1.0,0.0,3,yes,National T20 2025
39,23,1,3,2,183,3,120,167,9,120,15,17.0,4,yes,yes,,,,,yes,National T20 2025
39,30,2,3,1,138,9,120,146,8,120,24,36.0,5,yes,yes,18.0,1.0,0.0,6,yes,National T20 2025
48,3,2,2,1,182,2,112,181,3,120,114*,59.0,Opner,NO,NO,,,,,No,National T20 2025
48,23,2,2,3,132,3,79,131,9,120,76,39.0,Opner,yes,NO,,,,,No,National T20 2025
48,25,2,2,5,132,3,79,131,9,120,76,39.0,Opner,yes,NO,,,,,No,National T20 2025
48,35,2,2,1,140,7,116,138,7,120,26,13.0,Opner,yes,NO,,,,,No,National T20 2025
48,37,1,2,2,243,3,120,187,8,120,148,72.0,Opner,yes,NO,,,,,No,National T20 2025
48,39,1,2,1,110,9,120,111,1,96,17,16.0,Opner,yes,NO,,,,,No,National T20 2025
