Player ID,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Made by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs Made by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs made,Balls consumed,Batting position,Dismissed,Special Batting Talent,Balls bowled,Wickets taken,Maidens bowled,Batters Dismissed,Special Bowling Talent,Tournament
65,5,1,2,1,391,10,607,535.0,8.0,953.0,19,30,4,yes,No,,,,,No,QAT 2025
65,5,3,2,1,156,10,303,13.0,0.0,17.0,54,63,4,yes,No,,,,,No,QAT 2025
65,16,2,2,6,448,10,620,170.0,10.0,313.0,35,55,4,yes,No,,,,,No,QAT 2025
65,29,2,2,5,343,10,556,187.0,10.0,350.0,38,68,4,yes,No,,,,,No,QAT 2025
65,3,1,5,4,160,8,120,161.0,2.0,96.0,7,5,3,yes,No,,,,,No,Champions T0 cup 2024-25
65,15,1,5,2,139,8,120,140.0,2.0,85.0,13,13,4,yes,No,,,,,No,Champions T0 cup 2024-25
65,18,1,5,3,71,10,96,72.0,3.0,54.0,9,12,3,yes,No,,,,,No,Champions T0 cup 2024-25
65,6,1,1,2,93,10,259,414.0,9.0,589.0,24,92,4,yes,No,,,,,NO,President Trophy 2024-25
65,6,3,1,2,215,10,405,,,,33,63,2,yes,No,,,,,NO,President Trophy 2024-25
65,10,1,1,6,335,10,513,479.0,883.0,10.0,29,44,4,yes,No,,,,,NO,President Trophy 2024-25
65,10,3,1,6,456,3,680,,,,50*,67,4,No,No,,,,,NO,President Trophy 2024-25
65,14,2,1,9,531,9,684,164.0,10.0,276.0,26,38,4,yes,No,,,,,NO,President Trophy 2024-25
65,17,2,1,3,325,10,513,238.0,10.0,332.0,8,6,4,yes,No,,,,,NO,President Trophy 2024-25
65,22,1,1,5,421,10,617,180.0,10.0,317.0,59*,84,7,No,No,,,,,NO,President Trophy 2024-25
65,22,3,1,5,112,10,274,355.0,7.0,728.0,2,6,7,yes,No,,,,,NO,President Trophy 2024-25
65,26,1,1,8,425,10,651,179.0,10.0,284.0,77,124,7,yes,No,,,,,NO,President Trophy 2024-25
65,29,2,1,4,273,10,271,278.0,10.0,557.0,36,64,4,yes,No,,,,,NO,President Trophy 2024-25
65,29,4,1,4,259,4,322,249.0,10.0,473.0,24,29,4,yes,No,,,,,NO,President Trophy 2024-25
