Player ID,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Made by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs Made by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs made,Balls consumed,Batting position,Dismissed,Special Batting Talent,Balls bowled,Wickets taken,Maidens bowled,Batters Dismissed,Special Bowling Talent,Tournament
52,1,1,1,3,159,6,120,73,5,79,76,50.0,Opner,yes,No,18.0,0.0,0.0,0,yes,National T20 2025
52,8,2,1,5,135,4,105,132,7,120,11,8.0,Opner,yes,No,18.0,0.0,0.0,0,yes,National T20 2025
52,15,1,1,2,171,5,120,134,10,113,73,52.0,Opner,yes,No,18.0,1.0,0.0,4,yes,National T20 2025
52,29,1,1,4,182,5,120,165,5,120,5,7.0,6,yes,No,,,,,yes,National T20 2025
52,34,2,2,2,148,8,120,155,9,120,0,3.0,Opner,yes,No,24.0,2.0,0.0,"5,8",yes,National T20 2025
52,24,1,4,3,145,10,228,198,10,243,10,11.0,5,yes,No,,,,,yes,QAT 2025
52,24,3,4,3,74,10,97,26,1,19,17,14.0,5,yes,No,1.0,0.0,0.0,0,yes,QAT 2025
52,33,1,4,6,356,10,449,288,10,519,120,104.0,5,yes,No,,,,,yes,QAT 2025
52,33,3,4,6,159,8,234,112,5,222,4,8.0,5,yes,No,,,,,yes,QAT 2025
52,45,2,4,2,214,10,382,248,10,435,0,1.0,5,yes,No,6.0,0.0,0.0,0,yes,QAT 2025
52,45,4,4,2,102,10,153,266,9,229,17,18.0,5,yes,No,12.0,0.0,0.0,0,yes,QAT 2025
52,3,2,5,2,278,10,282,328,10,298,24,27.0,4,yes,No,,,,,yes,Champions One Day cup 2024-25
52,6,2,5,1,192,10,263,284,9,300,41,56.0,4,yes,No,,,,,yes,Champions One Day cup 2024-25
52,7,2,5,3,97,10,150,271,7,300,12,10.0,4,yes,No,18.0,1.0,0.0,2,yes,Champions One Day cup 2024-25
52,10,1,5,4,326,10,297,310,8,300,23,23.0,5,yes,No,24.0,2.0,0.0,"2,3",yes,Champions One Day cup 2024-25
52,37,1,2,1,205,10,324,317,10,536,0,,DNB,DNB,No,,,,,No,President Trophy 2024-25
52,37,3,2,1,264,10,458,154,7,241,45,82.0,5,yes,NO,,,,,No,President Trophy 2024-25
