Player ID,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Made by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs Made by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs made,Balls consumed,Batting position,Dismissed,Special Batting Talent,Balls bowled,Wickets taken,Maidens bowled,Batters Dismissed,Special Bowling Talent,Tournament
68,1,1,R1,R4,274,10,544,91,10,186,17.0,32.0,7,Yes,No,,,,,No,QAT 2025
68,1,4,R1,R4,122,5,147,301,10,518,,,DNB,DNB,No,,,,,No,QAT 2025
68,16,1,1,5,219,10,321,292,10,257,29.0,27.0,7,yes,No,,,,,No,QAT 2025
68,16,3,1,5,203,10,390,131,4,162,11.0,40.0,7,yes,No,,,,,No,QAT 2025
68,20,1,5,1,131,10,120,133,4,84,16.0,16.0,6,yes,DNB,,,,,No,Champions T20 cup 2024-25
68,1,2,5,2,273,3,270,306,8,300,,,DNB,DNB,No,,,,,No,President Cup 2024-25
68,7,1,5,4,252,9,300,254,8,296,14.0,25.0,6,Yes,No,,,,,No,President Cup 2024-25
68,10,1,5,1,166,10,230,169,1,155,8.0,12.0,8,Yes,No,,,,,No,President Cup 2024-25
68,8,1,3,9,379,10,476,293,10,485,51.0,69.0,7,yes,NO,,,,,NO,President Trophy 2024-25
68,8,3,3,9,242,10,339,99,10,149,16.0,13.0,7,yes,NO,,,,,NO,President Trophy 2024-25
68,12,2,3,8,191,10,226,140,10,275,11.0,11.0,6,yes,NO,,,,,NO,President Trophy 2024-25
68,12,4,3,8,103,0,82,152,10,282,,,DNB,DNB,NO,,,,,NO,President Trophy 2024-25
68,16,2,3,4,145,10,235,80,10,205,9.0,19.0,6,yes,NO,,,,,NO,President Trophy 2024-25
68,16,4,3,4,149,10,250,266,10,647,1.0,3.0,6,yes,NO,,,,,NO,President Trophy 2024-25
68,17,1,3,1,238,10,332,325,10,513,0.0,1.0,6,yes,NO,,,,,NO,President Trophy 2024-25
68,17,3,3,1,329,10,494,248,3,254,18.0,31.0,6,yes,NO,,,,,NO,President Trophy 2024-25
