Player ID,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Made by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs Made by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs made,Balls consumed,Batting position,Dismissed,Special Batting Talent,Balls bowled,Wickets taken,Maidens bowled,Batters Dismissed,Special Bowling Talent,Tournament
70,16,1.0,3,5,184.0,7.0,120.0,116,6,120,0,1.0,8,yes,yes,18.0,1.0,0.0,7,yes,National T20 2025
70,19,1.0,3,4,166.0,4.0,120.0,130,10,117,,,DNB,DNB,yes,24.0,0.0,0.0,0,yes,National T20 2025
70,31,1.0,3,2,118.0,9.0,120.0,119,3,103,0,1.0,8,yes,yes,25.0,0.0,0.0,0,yes,National T20 2025
70,7,1.0,R2,R3,117.0,10.0,249.0,100,10,237,2,18.0,8,yes,yes,48.0,3.0,2.0,"6,7,8",yes,QAT 2025
70,7,3.0,R2,R3,419.0,7.0,636.0,110,10,244,0,6.0,8,yes,yes,66.0,1.0,1.0,5,yes,QAT 2025
70,15,2.0,2,6,343.0,10.0,555.0,140,10,253,1,23.0,8,yes,yes,12.0,1.0,0.0,7,yes,QAT 2025
70,15,,2,6,,,,96,10,126,,,DNB,DNB,yes,5.0,3.0,0.0,"8,9,11",yes,QAT 2025
70,23,1.0,2,1,167.0,10.0,286.0,240,10,390,43,40.0,8,yes,yes,48.0,0.0,2.0,0,yes,QAT 2025
70,23,3.0,2,1,155.0,10.0,296.0,113,5,152,20,26.0,8,yes,yes,,,,,yes,QAT 2025
70,41,2.0,2,4,153.0,10.0,299.0,202,10,287,24,83.0,8,yes,yes,18.0,0.0,0.0,0,yes,QAT 2025
70,41,4.0,2,4,148.0,10.0,245.0,346,10,445,0,5.0,6,yes,yes,54.0,0.0,0.0,0,yes,QAT 2025
70,3,1.0,5,4,160.0,8.0,120.0,161,2,96,20,12.0,8,yes,yes,18.0,0.0,0.0,0,yes,Champions T20 cup 2024-25
70,5,1.0,5,2,128.0,9.0,120.0,132,8,113,1,3.0,8,yes,yes,18.0,0.0,0.0,0,yes,Champions T20 cup 2024-25
70,13,1.0,5,4,106.0,9.0,120.0,109,4,90,7,9.0,8,yes,yes,12.0,0.0,0.0,0,yes,Champions T20 cup 2024-25
70,15,1.0,5,2,139.0,8.0,120.0,140,2,85,1*,1.0,9,No,yes,18.0,2.0,0.0,"1,3",yes,Champions T20 cup 2024-25
70,18,1.0,5,3,71.0,10.0,96.0,72,3,54,0,1.0,9,yes,yes,,,,,No,Champions T20 cup 2024-25
