Player ID,Match ID,Innings Number,Team standing,Opposition standing,Total Runs Made by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs Made by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs made,Balls consumed,Batting position,Dismissed,Special Batting Talent,Balls bowled,Wickets taken,Maidens bowled,Batters Dismissed,Special Bowling Talent,Tournament
16,12,2,7,4,148,7,117,147,8,120,43,33,4,YES,NA,12,0,0,NA,NA,National T20
16,16,2,7,16,110,3,86,107,10,109,0,6,4,YES,NA,12,0,0,NA,NA,National T20
16,27,2,7,15,143,2,87,137,6,120,2,5,3,YES,NA,24,0,0,NA,NA,National T20
16,36,2,7,2,151,10,113,184,10,120,20,16,6,YES,NA,24,1,0,2,NA,National T20
16,2,1,1,4,216,3,120,181,10,115,DNB,NA,NA,NA,NA,DNB,NA,NA,NA,NA,Champions T20
16,4,1,1,3,162,5,120,150,7,120,39,30,6,YES,NA,24,2,0,"3,6",NA,Champions T20
16,7,2,1,2,167,5,120,170,6,120,16,21,4,YES,NA,12,0,0,NA,NA,Champions T20
16,9,1,1,5,190,4,120,185,9,120,DNB,NA,NA,NA,NA,DNB,NA,NA,NA,NA,Champions T20
16,11,2,1,4,170,4,120,168,7,120,21,16,6,NO,NA,DNB,NA,NA,NA,NA,Champions T20
16,14,1,1,3,168,10,120,169,7,114,22,16,5,YES,NA,24,2,0,"2,6",NA,Champions T20
16,17,1,1,2,147,9,120,118,10,111,27,28,3,YES,NA,18,0,0,NA,NA,Champions T20
16,20,2,1,5,133,4,84,131,10,120,1,3,4,YES,NA,DNB,NA,NA,NA,NA,Champions T20
16,22,1,1,2,199,5,120,124,10,115,6,3,7,NO,NA,DNB,NA,NA,NA,NA,Champions T20
