Player ID,Match ID,Innings Number,Team standing,Opposition standing,Total Runs Made by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs Made by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs made,Balls consumed,Batting position,Dismissed,Special Batting Talent,Balls bowled,Wickets taken,Maidens bowled,Batters Dismissed,Special Bowling Talent,Tournament
18,35,1,7,2,181,3,120,182,2,112,66,46,4,NO,NA,DNB,DNB,DNB,NA,NA,National T20
18,12,1,7,18,215,4,120,81,10,107,33,16,5,YES,NA,DNB,DNB,DNB,NA,NA,National T20
18,1,1,R 1,R 4,274,10,544,91,10,186,16,36,4,YES,NA,NA,NA,NA,NA,QAT,
18,1,4,R 1,R 4,122,5,147,301,10,518,32,47,5,YES,NA,NA,NA,NA,NA,QAT,
18,48,2,T 3,T 1,639,10,919,465,10,717,47,97,6,YES,NA,NA,NA,NA,NA,QAT,
18,2,1,3,4,336,5,300,203,10,337,74,72,4,YES,NA,NA,NA,NA,NA,Champions One Day,
18,4,2,3,1,105,10,142,231,10,270,5,9,4,YES,NA,NA,NA,NA,NA,Champions One Day,
18,7,1,3,5,271,7,300,97,10,150,33,49,4,YES,NA,NA,NA,NA,NA,Champions One Day,
18,9,2,3,1,324,10,297,344,7,300,109,120,5,YES,NA,NA,NA,NA,NA,Champions One Day,
18,12,2,3,4,251,10,297,263,9,300,28,53,5,YES,NA,NA,NA,NA,NA,Champions One Day,
18,22,1,1,2,199,5,120,124,10,115,17,18,5,YES,NA,NA,NA,NA,NA,Champions T20,
18,8,1,3,9,379,10,476,293,10,485,139,176,4,YES,NA,NA,NA,NA,NA,President's Trophy Grade-I,
18,8,3,3,9,242,10,339,99,10,149,14,45,4,YES,NA,NA,NA,NA,NA,President's Trophy Grade-I,
18,12,2,3,8,191,10,226,140,10,275,41,69,4,YES,NA,NA,NA,NA,NA,President's Trophy Grade-I,
18,16,2,3,4,145,10,233,80,10,205,36,62,4,YES,NA,NA,NA,NA,NA,President's Trophy Grade-I,
18,16,4,3,4,149,10,250,266,10,647,0,4,4,YES,NA,NA,NA,NA,NA,President's Trophy Grade-I,
18,3,2,5,2,273,3,270,306,8,300,128,138,3,NO,NA,NA,NA,NA,NA,President's Cup One-Day,
18,5,1,5,4,252,9,300,254,8,296,6,18,3,YES,NA,NA,NA,NA,NA,President's Cup One-Day,
18,10,1,5,1,166,10,230,169,1,155,67,102,4,YES,NA,NA,NA,NA,NA,President's Cup One-Day,
18,13,1,5,3,178,10,232,182,5,199,24,22,4,YES,NA,NA,NA,NA,NA,President's Cup One-Day,
