Player ID,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Made by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs Made by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs made,Balls consumed,Batting position,Dismissed,Special Batting Talent,Balls bowled,Wickets taken,Maidens bowled,Batters Dismissed,Special Bowling Talent,Tournament
51,9,2,R3,R5,529,10,715,256,10,371,169,228,4,yes,No,,,,,No,QAT 2025
51,9,4,R3,R5,72,4,84,493,10,742,17*,27,4,No,No,,,,,No,QAT 2025
51,7,2,5,3,97,10,150,271,7,300,10,21,3,yes,No,,,,,No,Champions One Day cup 2024-25
51,10,1,5,4,326,10,297,310,8,300,75,81,4,yes,No,,,,,No,Champions One Day cup 2024-25
51,3,1,5,4,160,8,120,161,2,96,0,5,4,yes,No,,,,,No,Champions T20 cup 2024-25
51,5,1,5,2,128,9,120,132,8,113,11,10,4,yes,No,,,,,No,Champions T20 cup 2024-25
51,10,2,2,1,344,8,282,379,4,300,182,141,3,No,No,,,,,No,President Cup 2024-25
51,6,2,2,1,414,9,589,93,10,259,101,137,4,yes,No,,,,,No,President Trophy 2024-25
51,15,2,2,5,347,10,617,250,10,473,136,241,4,yes,No,,,,,No,President Trophy 2024-25
51,19,2,2,2,155,10,278,126,10,240,40,81,3,yes,No,,,,,No,President Trophy 2024-25
