Player ID,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Made by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs Made by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs made,Balls consumed,Batting position,Dismissed,Special Batting Talent,Balls bowled,Wickets taken,Maidens bowled,Batters Dismissed,Special Bowling Talent,Tournament
76,5,1,0,0,0,351,10,292,351,10,287,201,132,4,Retired,,DNB,DNB,DNB,,
76,10,2,0,0,0,297,5,282,295,8,300,29,38,4,Yes,,DNB,DNB,DNB,,
76,13,2,0,0,0,182,5,199,178,10,232,0,1,4,Yes,,DNB,DNB,DNB,,
76,1,2,0,0,0,186,10,209,347,6,300,8,14,4,Yes,,DNB,DNB,DNB,,
76,3,1,0,0,0,327,10,298,278,10,282,112,110,4,Yes,,DNB,DNB,DNB,,
76,5,1,0,0,0,283,10,281,199,10,212,11,7,4,Yes,,DNB,DNB,DNB,,
76,9,1,0,0,0,344,7,300,324,10,297,75,47,3,Yes,,DNB,DNB,DNB,,
76,11,2,0,0,0,143,3,142,137,10,215,54,26,4,Yes,,DNB,DNB,DNB,,
76,14,2,0,0,0,123,5,108,122,10,202,13,8,4,Yes,,DNB,DNB,DNB,,
76,2,1,0,0,0,466,10,764,546,10,769,93,127,3,Yes,,DNB,DNB,DNB,,
