Player ID,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs Made,Balls Consumed,Batting Position,Dismissed,Special Batting Talent,Balls Bowled,Wickets Taken,Maidens Bowled,Batters Dismissed,Special Bowling Talent,Tournament
30,7,2,4,1,137,8,120,199,4,120,11,9,4,YES,,DNB,DNB,DNB,DNB,,National
30,18,2,4,2,131,3,89,127,10,117,43,25,4,YES,,DNB,DNB,DNB,DNB,,National
30,23,2,4,3,218,3,120,127,10,104,63,34,5,YES,,DNB,DNB,DNB,DNB,,National
30,6,2,7,4,198,10,433,197,10,389,0,4,5,YES,,,,,,President's Trophy,
30,6,4,7,4,180,3,268,178,10,364,47,89,3,YES,,,,,,President's Trophy,
30,10,1,7,2,242,10,440,300,10,459,117,218,5,YES,,,,,,President's Trophy,
30,10,3,7,2,139,10,315,85,3,89,5,27,6,YES,,,,,,President's Trophy,
30,15,1,7,6,334,10,587,280,10,491,5,8,5,YES,,,,,,President's Trophy,
30,15,3,7,6,152,10,290,207,6,318,0,1,5,YES,,,,,,President's Trophy,
30,18,2,7,5,98,10,229,370,10,706,13,19,4,YES,,,,,,President's Trophy,
30,18,4,7,5,288,10,518,18,1,23,65,61,1,YES,,,,,,President's Trophy,
30,23,2,7,8,113,10,209,179,10,262,0,11,3,YES,,,,,,President's Trophy,
30,23,4,7,8,198,10,354,292,10,457,45,105,3,YES,,,,,,President's Trophy,
30,27,1,7,3,270,10,503,435,10,702,0,2,3,YES,,,,,,President's Trophy,
30,27,3,7,3,176,10,519,0,0,0,35,39,3,YES,,,,,,President's Trophy,
30,34,1,7,9,346,10,617,147,10,419,0,3,3,YES,,,,,,President's Trophy,
30,34,4,7,9,110,3,96,306,10,453,25,19,2,YES,,,,,,President's Trophy,
