Player ID,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Made by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs Made by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs Made,Balls Consumed,Batting Position,Dismissed,Special Batting Talent,Balls Bowled,Wickets Taken,Maidens Bowled,Batters Dismissed,Tournament
6,1,2,3,1,73,5,79,159,6,120,6,10,1,YES,,,,,,National
6,16,1,3,5,184,7,120,116,6,120,22,11,1,YES,,,,,,National
6,19,1,3,4,166,4,120,130,10,117,75,54,1,YES,,,,,,National
6,31,1,3,2,118,9,120,119,3,103,17,17,1,YES,,,,,,National
6,5,1,R 2,R 3,117,10,249,100,10,237,10,27,1,YES,,,,,,QAT
6,5,3,R 2,R 3,419,7,636,110,10,244,17,28,1,YES,,,,,,QAT
6,11,2,R 2,R 6,343,10,555,140,10,253,5,10,1,YES,,,,,,QAT
6,29,1,R 2,R 1,167,10,286,214,10,376,1,8,1,YES,,,,,,QAT
6,29,3,R 2,R 1,155,10,296,113,5,152,15,29,1,YES,,,,,,QAT
6,4,1,1,3,162,5,120,150,7,120,4,3,1,YES,,,,,,Champions T20
6,14,1,1,3,168,10,120,169,7,114,18,18,1,YES,,,,,,Champions T20
6,17,1,1,2,147,9,120,118,10,111,2,7,2,YES,,,,,,Champions T20
