Player ID,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Made by Own Team,Total Wickets Lost by Own Team,Total Balls Played by Own Team,Total Runs Made by Opposition Team,Total Wickets Lost by Opposition Team,Total Balls Played by Opposition Team,Runs made,Balls consumed,Batting position,Dismissed,Special Batting Talent,Balls bowled,Wickets taken,Maidens bowled,Batters Dismissed,Special Bowling Talent,Tournament
7,5,1,3,2,104,10,111,105,7,79,4,2,1,YES,,0,0,0,,,National T20
7,15,2,3,1,183,10,116,207,3,120,5,9,1,YES,,0,0,0,,,National T20
7,23,1,3,4,218,3,120,127,10,104,2,6,1,YES,,0,0,0,,,National T20
7,10,2,R 3,R 6,375,10,533,82,10,199,DNB,NA,NA,NA,,216,8,7,"1,4,5",,QAT
7,25,2,R 3,R 4,198,10,243,145,10,228,4,9,2,YES,,0,0,0,,,QAT
7,25,4,R 3,R 4,26,1,19,74,10,97,24,17,2,NO,,0,0,0,,,QAT
7,32,2,R 3,R 2,324,10,519,233,10,354,13,16,2,YES,,0,0,0,,,QAT
7,32,4,R 3,R 2,392,7,673,198,6,252,8,9,2,YES,,0,0,0,,,QAT
7,37,2,R 3,R 1,348,10,529,393,10,613,6,9,2,YES,,0,0,0,,,QAT
7,37,4,R 3,R 1,214,10,387,195,10,318,16,10,2,YES,,0,0,0,,,QAT
7,2,1,3,4,336,5,300,203,10,337,13,18,2,YES,,0,0,0,,,Champions One Day
7,4,2,3,1,105,10,142,231,10,270,2,15,1,YES,,0,0,0,,,Champions One Day
7,7,1,3,5,271,7,300,97,10,150,46,58,2,YES,,0,0,0,,,Champions One Day
7,12,2,3,4,251,10,297,263,9,300,39,42,1,YES,,0,0,0,,,Champions One Day
7,2,1,1,4,216,3,120,181,10,115,27,15,1,YES,,0,0,0,,,Champions T20
7,4,1,1,3,162,5,120,150,7,120,0,1,2,YES,,0,0,0,,,Champions T20
7,7,2,1,2,167,5,120,170,6,120,17,10,1,YES,,0,0,0,,,Champions T20
7,9,1,1,5,190,4,120,185,9,120,36,33,1,YES,,0,0,0,,,Champions T20
7,11,2,1,4,170,4,120,168,7,120,20,13,1,YES,,0,0,0,,,Champions T20
7,20,2,1,5,133,4,84,131,10,120,32,26,1,YES,,0,0,0,,,Champions T20
7,22,1,1,2,199,5,120,124,10,115,100,57,2,YES,,0,0,0,,,Champions T20
7,1,2,1st in Group,7th in Group,333,10,490,406,10,589,59,80,1,YES,,0,0,0,,,President's Trophy
7,1,4,1st in Group,7th in Group,335,6,402,261,10,612,7,10,1,YES,,0,0,0,,,President's Trophy
