Sr.,Player,Runs,Ave,FC VALUE,FC_NORMALIZED,FC_PERCENTILE,FC_STANDARDIZED,FC_STANDARDIZED_SHIFTED,AVG,STDEV,SHIFT
1,Mohammad Huraira,2971,51.22,507.25,1014.497467,0.993,5.378351962,5.982708833,94.02873627,171.1432679,0.6043568713
2,Sahibzada Farhan,2700,58.69,528.21,1056.42,0.997,5.623307746,6.227664617,,,
3,Asad Shafiq,2444,47.92,390.39,780.7765333,0.986,4.012707048,4.617063919,,,
4,Umar Amin,2327,55.4,429.72,859.4386667,0.99,4.472334437,5.076691308,,,
5,Abid Ali,2127,50.64,359.04,718.0752,0.983,3.646339535,4.250696406,,,
6,Tayyab Tahir,2100,47.72,334.04,668.08,0.98,3.354214694,3.958571565,,,
7,Saad Khan,1991,49.77,330.31,660.6138,0.976,3.310589256,3.914946127,,,
8,Kamran Ghulam,1777,49.36,292.38,584.7514667,0.973,2.86732126,3.471678131,,,
9,Imran Butt,1718,42.95,245.96,491.9206667,0.956,2.324905533,2.929262404,,,
10,Khurram Manzoor,1615,39.39,212.05,424.099,0.943,1.928619617,2.532976488,,,
11,Zain Abbas,1601,42.13,224.83,449.6675333,0.946,2.078018034,2.682374906,,,
12,Abdul Faseeh,1569,44.82,234.41,468.8172,0.949,2.189910643,2.794267514,,,
13,Mubasir Khan,1489,37.22,184.74,369.4705333,0.919,1.609422331,2.213779202,,,
14,Mohammad Saad,1483,42.37,209.45,418.8980667,0.936,1.898230263,2.502587135,,,
15,Hussain Talat,1463,40.63,198.14,396.2779333,0.926,1.766059518,2.370416389,,,
16,Omair Bin Yousuf,1423,38.45,182.38,364.7623333,0.912,1.581912046,2.186268918,,,
17,Faizan Riaz,1379,59.95,275.57,551.1403333,0.966,2.670929466,3.275286338,,,
18,Ali Zaryab,1379,45.96,211.26,422.5256,0.939,1.91942615,2.523783021,,,
19,Azhar Ali,1315,57.17,250.60,501.1903333,0.959,2.379068731,2.983425602,,,
20,Usman Salahuddin,1206,40.2,161.60,323.208,0.895,1.339107676,1.943464548,,,
21,Umar Siddiq,1201,29.29,117.26,234.5152667,0.865,0.8208709122,1.425227783,,,
22,Ahmed Shehzad,1165,61.31,238.09,476.1743333,0.953,2.232898798,2.837255669,,,
23,Salman Ali Agha,1164,46.56,180.65,361.3056,0.909,1.561714154,2.166071025,,,
24,Saud Shakil,1154,72.12,277.42,554.8432,0.97,2.69256553,3.296922401,,,
25,Sarfraz Ahmed,1148,67.52,258.38,516.7530667,0.963,2.470002681,3.074359552,,,
26,Imran Rafiq,1098,40.66,148.82,297.6312,0.882,1.189660956,1.794017828,,,
27,Saim Ayub,1069,46.47,165.59,331.1762,0.899,1.385666329,1.9900232,,,
28,Sharoon Siraj,1069,35.63,126.96,253.9231333,0.872,0.9342721982,1.538629069,,,
29,Fawad Alam,1062,59,208.86,417.72,0.932,1.891346752,2.495703623,,,
30,Saad Nasim,1051,45.69,160.07,320.1346,0.892,1.321149623,1.925506494,,,
31,Rehan Afridi,986,29.87,98.17,196.3454667,0.845,0.5978425659,1.202199437,,,
32,Waqar Ahmed,981,35.03,114.55,229.0962,0.858,0.7892069926,1.393563864,,,
33,Ayaz Tasawwar,970,37.3,120.60,241.2066667,0.868,0.8599691489,1.46432602,,,
34,Iftikhar Ahmed,925,61.66,190.12,380.2366667,0.922,1.67232947,2.276686341,,,
35,Shan Masood,909,60.6,183.62,367.236,0.916,1.596365824,2.200722695,,,
36,Mohammad Imran,887,35.48,104.90,209.8050667,0.855,0.6764877862,1.280844658,,,
37,Abdul Wahid Bangalzai,878,46.21,135.24,270.4825333,0.875,1.031029729,1.6353866,,,
38,Abdullah Shafique,867,72.25,208.80,417.605,0.929,1.8906748,2.495031671,,,
39,Ali Shan,833,23.8,66.08,132.1693333,0.787,0.2228577118,0.8272145831,,,
40,Qasim Akram,826,51.62,142.13,284.2541333,0.878,1.111497983,1.715854855,,,
41,Rohail Nazir,825,26.61,73.18,146.355,0.801,0.3057453816,0.9101022528,,,
42,Haseebullah Khan,806,35.04,94.14,188.2816,0.838,0.5507249272,1.155081798,,,
43,Irfan Khan Niazi,800,57.14,152.37,304.7466667,0.885,1.231237039,1.835593911,,,
44,Faheem Ashraf,779,35.4,91.92,183.844,0.831,0.5247957741,1.129152645,,,
45,Imam-ul-Haq,760,69.09,175.03,350.056,0.905,1.495982091,2.100338962,,,
46,Israrullah,753,30.12,75.60,151.2024,0.807,0.3340690198,0.938425891,,,
47,Umar Akmal,725,32.95,79.63,159.2583333,0.814,0.3811403036,0.9854971748,,,
48,Sarmad Bhatti,721,48.06,115.50,231.0084,0.861,0.8003800877,1.404736959,,,
49,Rizwan Hussain,709,44.31,104.72,209.4386,0.851,0.6743465003,1.278703372,,,
50,Yousuf Babar,696,34.8,80.74,161.472,0.818,0.3940748858,0.998431757,,,
51,Azam Khan,689,28.7,65.91,131.8286667,0.78,0.2208671768,0.8252240481,,,
52,Ahsan Ali,678,67.8,153.23,306.456,0.889,1.241224773,1.845581644,,,
53,Rameez Aziz,635,45.35,95.99,191.9816667,0.841,0.5723446305,1.176701502,,,
54,Taimur Khan,634,42.26,89.31,178.6189333,0.828,0.4942654077,1.098622279,,,
55,Ali Waqas,632,42.13,88.75,177.5077333,0.821,0.4877726019,1.092129473,,,
56,Ali Usman,629,33.1,69.40,138.7993333,0.797,0.2615971848,0.865954056,,,
57,Haris Sohail,628,44.85,93.89,187.772,0.834,0.547747305,1.152104176,,,
58,Sajid Khan,604,23.23,46.77,93.53946667,0.74,-0.002858830561,0.6014980407,,,
59,Ashfaq Ahmed,601,25.04,50.16,100.3269333,0.747,0.03680072924,0.6411576005,,,
60,Kashif Bhatti,600,19.35,38.70,77.4,0.696,-0.09716266658,0.5071942047,,,
61,Junaid Ali,589,45.3,88.94,177.878,0.824,0.4899360915,1.094292963,,,
62,Asif Afridi,587,23.48,45.94,91.88506667,0.73,-0.01252558533,0.591831286,,,
63,Adil Amin,586,27.9,54.50,108.996,0.764,0.08745458654,0.6918114578,,,
64,Maaz Sadaqat,586,34.47,67.33,134.6628,0.791,0.2374271816,0.8417840528,,,
65,Mohammad Sarwar,584,32.44,63.15,126.2997333,0.774,0.1885612999,0.7929181712,,,
66,Bismillah Khan,581,38.73,75.01,150.0142,0.804,0.3271262985,0.9314831698,,,
67,Aamer Yamin,555,27.75,51.34,102.675,0.753,0.05052061841,0.6548774897,,,
68,Haider Ali,554,92.33,170.50,341.0054667,0.902,1.443099302,2.047456173,,,
69,Khalid Usman,538,26.9,48.24,96.48133333,0.743,0.01433066631,0.6186875376,,,
70,Mohammad Suleman,534,38.14,67.89,135.7784,0.794,0.2439456968,0.8483025681,,,
71,Awais Zafar,513,34.2,58.48,116.964,0.77,0.1340120708,0.7383689421,,,
72,Ghazi Ghouri,474,33.85,53.48,106.966,0.76,0.07559317928,0.6799500506,,,
73,Nauman Ali,471,27.7,43.49,86.978,0.713,-0.04119785931,0.563159012,,,
74,Zeeshan Ashraf,463,42.09,64.96,129.9178,0.777,0.2097018725,0.8140587437,,,
75,Hasan Raza,453,30.2,45.60,91.204,0.723,-0.0165050972,0.5878517741,,,
76,Mohammad Hasan,451,30.06,45.19,90.3804,0.72,-0.02131743958,0.5830394317,,,
77,Sarmad Bhatti,445,44.5,66.01,132.0166667,0.784,0.2219656716,0.8263225429,,,
78,Nasir Nawaz,440,31.42,46.08,92.16533333,0.733,-0.010887971,0.5934689003,,,
79,Hasan Mohsin,433,39.36,56.81,113.6192,0.767,0.1144682112,0.7188250825,,,
80,Mohammad Ikhlaq,430,53.75,77.04,154.0833333,0.811,0.3509024796,0.9552593509,,,
81,Ammad Alam,425,32.69,46.31,92.62166667,0.736,-0.008221588977,0.5961352823,,,
82,Aamer Jamal,419,22.05,30.80,61.593,0.686,-0.1895238807,0.4148329906,,,
83,Nabi Gul,413,31.76,43.72,87.44586667,0.716,-0.03846408735,0.5658927839,,,
84,Mohammad Ilyas,407,16.28,22.09,44.17306667,0.645,-0.2913095574,0.3130473139,,,
85,Mohammad Basit Ali,389,77.8,100.88,201.7613333,0.848,0.6294877877,1.233844659,,,
86,Imran Dogar,387,21.5,27.74,55.47,0.669,-0.2253009233,0.3790559479,,,
87,Shahbaz Javed,371,33.72,41.70,83.4008,0.709,-0.06209964555,0.5422572257,,,
88,Umar Waheed,362,24.13,29.12,58.23373333,0.672,-0.2091522698,0.3952046014,,,
89,Azeem Ghumman,358,17.04,20.33,40.6688,0.635,-0.3117851899,0.2925716814,,,
90,Salman Khan,352,35.2,41.30,82.60266667,0.706,-0.06676318472,0.5375936866,,,
91,Niaz Khan,341,20.05,22.79,45.58033333,0.655,-0.2830868169,0.3212700543,,,
92,Hasan Nawaz,314,26.16,27.38,54.7616,0.666,-0.2294401455,0.3749167258,,,
93,Mir Hamza,309,19.31,19.89,39.7786,0.628,-0.3169866799,0.2873701913,,,
94,Waqar Hussain,301,50.16,50.33,100.6544,0.75,0.03871413589,0.6430710072,,,
95,Uzair Mumtaz,298,29.8,29.60,59.20266667,0.676,-0.2034907364,0.4008661349,,,
96,Khurram Shehzad,274,13.04,11.91,23.81973333,0.564,-0.4102352597,0.1941216115,,,
97,Saeed Ali,266,38,33.69,67.38666667,0.693,-0.1556711517,0.4486857196,,,
98,Sohail Khan,263,21.91,19.21,38.41553333,0.622,-0.3249511572,0.2794057141,,,
99,Hassan Khan,261,29,25.23,50.46,0.662,-0.2545746427,0.3497822285,,,
100,Ahmed Safi,260,17.33,15.02,30.03866667,0.595,-0.373897673,0.2304591982,,,
101,Musadiq Ahmed,259,28.77,24.84,49.6762,0.659,-0.2591544314,0.3452024399,,,
102,Hashim Ibraheem,249,62.25,51.67,103.335,0.757,0.05437703654,0.6587339078,,,
103,Zafar Gohar,246,27.33,22.41,44.8212,0.652,-0.2875224769,0.3168343944,,,
104,Khushdil Shah,243,40.5,32.81,65.61,0.689,-0.1660523176,0.4383045537,,,
105,Zeeshan Malik,240,26.66,21.33,42.656,0.639,-0.3001738655,0.3041830057,,,
106,Mohammad Shehzad,233,38.83,30.16,60.31593333,0.679,-0.196985855,0.4073710163,,,
107,Hassan Ali,229,25.44,19.42,38.8384,0.625,-0.3224803229,0.2818765484,,,
108,Mohammad Saleem,229,22.9,17.48,34.96066667,0.608,-0.3451381427,0.2592187286,,,
109,Mehran Mumtaz,228,13.41,10.19,20.3832,0.547,-0.4303151225,0.1740417488,,,
110,Abubakar Khan,227,25.22,19.08,38.16626667,0.618,-0.3264076367,0.2779492345,,,
111,Mohammad Umar,222,20.18,14.93,29.8664,0.591,-0.3749042371,0.2294526342,,,
112,Mohammad Irfan,220,55,40.33,80.66666667,0.703,-0.07807534455,0.5262815267,,,
113,Mehran Ibrahim,216,30.85,22.21,44.424,0.649,-0.2898433394,0.3145135319,,,
114,Bilawal Bhatti,214,30.57,21.81,43.6132,0.642,-0.2945808906,0.3097759806,,,
115,Hamayun Altaf,213,26.62,18.90,37.8004,0.615,-0.3285454168,0.2758114545,,,
116,Sharjeel Khan,212,15.14,10.70,21.39786667,0.557,-0.4243863666,0.1799705047,,,
117,Asif Mehmood,209,23.22,16.18,32.3532,0.601,-0.3603737211,0.2439831502,,,
118,Akif Javed,201,12.56,8.42,16.8304,0.517,-0.4510743381,0.1532825331,,,
119,Nisar Ahmad,197,21.88,14.37,28.73573333,0.588,-0.3815107878,0.2228460835,,,
120,Fakhar Zaman,192,48,30.72,61.44,0.682,-0.1904178685,0.4139390028,,,
121,Abbas Ali,191,21.22,13.51,27.02013333,0.581,-0.3915351377,0.2128217336,,,
122,Adeel Meo,191,31.83,20.27,40.5302,0.632,-0.3125950377,0.2917618335,,,
123,Muhammad Mohsin Khan,182,22.75,13.80,27.60333333,0.584,-0.3881274664,0.2162294049,,,
124,Arshad Iqbal,174,11.6,6.73,13.456,0.493,-0.4707911522,0.133565719,,,
125,Zia-ul-Haq,172,21.5,12.33,24.65333333,0.571,-0.4053644868,0.1989923845,,,
126,Sameen Gul,170,7.72,4.37,8.749333333,0.436,-0.4982924775,0.1060643938,,,
127,Jamal Anwar,170,18.88,10.70,21.39733333,0.554,-0.4243894829,0.1799673884,,,
128,Mohammad Mohsin,170,28.33,16.05,32.10733333,0.598,-0.3618103342,0.2425465371,,,
129,Hassan Abid,163,16.3,8.86,17.71266667,0.53,-0.445919203,0.1584376682,,,
130,Akbar-ur-Rehman,161,23,12.34,24.68666667,0.574,-0.4051697182,0.1991871531,,,
131,Jahandad Khan,157,15.7,8.22,16.43266667,0.514,-0.453398317,0.1509585543,,,
132,Asif Ali,154,22,11.29,22.58666667,0.561,-0.4174401395,0.1869167318,,,
133,Saif Badar,151,18.87,9.50,18.9958,0.537,-0.4384217808,0.1659350904,,,
134,Jalat Khan,148,37,18.25,36.50666667,0.611,-0.3361047754,0.2682520959,,,
135,Mohammad Ali,147,9.18,4.50,8.9964,0.446,-0.4968488527,0.1075080186,,,
136,Bilawal Iqbal,143,11.91,5.68,11.3542,0.47,-0.4830720911,0.1212847802,,,
137,Mohammad Rameez,137,19.57,8.94,17.87393333,0.534,-0.4449769126,0.1593799587,,,
138,Kashif Ali,135,22.5,10.13,20.25,0.544,-0.4310934178,0.1732634535,,,
139,Kashif Ali,135,27,12.15,24.3,0.568,-0.4074290339,0.1969278374,,,
140,Taimoor Sultan,133,19,8.42,16.84666667,0.52,-0.4509792911,0.1533775802,,,
141,Mohammad Imran,125,41.66,17.36,34.71666667,0.605,-0.3465638488,0.2577930225,,,
142,Saim Ayyaz,117,117,45.63,91.26,0.726,-0.01617788597,0.5881789853,,,
143,Abrar Ahmed,115,14.37,5.51,11.017,0.466,-0.4850423701,0.1193145011,,,
144,Mohammad Usman,115,23,8.82,17.63333333,0.527,-0.4463827523,0.157974119,,,
145,Kashif Ali,113,9.41,3.54,7.088866667,0.405,-0.5079946801,0.09636219117,,,
146,Mohammad Irfan,113,22.6,8.51,17.02533333,0.524,-0.4499353314,0.1544215399,,,
147,Waqas Maqsood,110,12.22,4.48,8.961333333,0.439,-0.4970537492,0.1073031221,,,
148,Saeed Malik,109,109,39.60,79.20666667,0.699,-0.08660620888,0.5177506624,,,
149,Faraz Ali,106,17.66,6.24,12.47973333,0.483,-0.4764955348,0.1278613365,,,
150,Mohammad Haris,105,21,7.35,14.7,0.507,-0.4635223884,0.1408344829,,,
151,Tabish Khan,104,14.85,5.15,10.296,0.463,-0.4892552148,0.1151016565,,,
152,Gohar Faiz,102,17,5.78,11.56,0.476,-0.4818695898,0.1224872815,,,
153,Obaid Shahid,98,32.66,10.67,21.33786667,0.551,-0.42473695,0.1796199212,,,
154,Amad Butt,94,11.75,3.68,7.363333333,0.412,-0.5063909555,0.09796591576,,,
155,Mohammad Junaid,94,18.8,5.89,11.78133333,0.48,-0.4805763263,0.123780545,,,
156,Irfanullah Shah,93,8.45,2.62,5.239,0.361,-0.5188035579,0.08555331338,,,
157,Danish Aziz,93,13.28,4.12,8.2336,0.426,-0.5013059371,0.1030509342,,,
158,Fahad Munir,93,31,9.61,19.22,0.541,-0.4371117673,0.167245104,,,
159,Umar Abid,92,23,7.05,14.10666667,0.5,-0.4669892693,0.1373676019,,,
160,Mohsin Riaz,90,15,4.50,9,0.449,-0.4968278176,0.1075290536,,,
161,Yasir Shah,88,9.77,2.87,5.731733333,0.375,-0.5159244886,0.08843238271,,,
162,Abdul Samad,87,14.5,4.21,8.41,0.429,-0.5002752217,0.1040816495,,,
