Sr.,Player,Runs,Ave,RR,SR,LIST A VALUE,LIST_A_NORMALIZED,LIST_A_PERCENTILE,LIST_A_STANDARDIZED,LIST_A_STANDARDIZED_SHIFTED,AVG,STDEV,Shift
1,Haseebullah Khan,1752,56.51,5.52,92.00,273.26,910.850784,0.993,6.49,6.9014,49.63,132.7051999,0.4114
2,Sharjeel Khan,1572,50.7,7.46,124.33,297.28,990.94164,0.996,7.093,7.5044,,,
3,Kamran Ghulam,1535,54.82,5.44,90.67,228.88,762.9482133,0.989,5.375,5.7864,,,
4,Tayyab Tahir,1379,45.96,5.35,89.17,169.54,565.12799,0.982,3.885,4.2964,,,
5,Imran Butt,1233,44.03,5.02,83.67,136.27,454.217883,0.971,3.049,3.4604,,,
6,Hussain Talat,1176,53.45,5.79,96.50,181.97,606.57198,0.986,4.197,4.6084,,,
7,Umar Amin,1140,49.56,5.45,90.83,153.96,513.1938,0.975,3.493,3.9044,,,
8,Ahmed Shehzad,1118,36.06,5.08,84.67,102.40,341.334344,0.957,2.198,2.6094,,,
9,Saim Ayub,1050,47.72,6.69,111.50,167.60,558.6819,0.978,3.836,4.2474,,,
10,Sharoon Siraj,991,34.17,4.55,75.83,77.04,256.7903975,0.938,1.561,1.9724,,,
11,Adil Amin,933,51.83,5.36,89.33,129.60,431.992684,0.967,2.881,3.2924,,,
12,Mohammad Faizan,832,30.81,6.1,101.67,78.18,260.61152,0.942,1.59,2.0014,,,
13,Asad Shafiq,802,50.12,5.65,94.17,113.55,378.5145933,0.964,2.478,2.8894,,,
14,Danish Aziz,801,47.11,4.63,77.17,87.36,291.1892655,0.946,1.82,2.2314,,,
15,Mubasir Khan,780,33.91,5.63,93.83,74.46,248.18729,0.931,1.496,1.9074,,,
16,Qasim Akram,765,29.42,5.4,90.00,60.77,202.5567,0.924,1.152,1.5634,,,
17,Abdul Wahid Bangalzai,730,33.18,5,83.33,60.55,201.845,0.917,1.147,1.5584,,,
18,Bismillah Khan,721,42.41,6.2,103.33,94.79,315.9686367,0.949,2.007,2.4184,,,
19,Omair Bin Yousuf,712,25.42,4.72,78.67,42.71,142.3791147,0.88,0.699,1.1104,,,
20,Saad Nasim,704,50.28,5.63,93.83,99.64,332.142976,0.953,2.129,2.5404,,,
21,Mohammad Sarwar,680,42.5,5.25,87.50,75.86,252.875,0.935,1.532,1.9434,,,
22,Zain Abbas,666,27.75,5.01,83.50,46.30,154.320525,0.888,0.789,1.2004,,,
23,Haider Ali,634,26.41,4.73,78.83,39.60,131.9980603,0.873,0.621,1.0324,,,
24,Salman Ali Agha,628,57.09,6.17,102.83,110.61,368.683414,0.96,2.404,2.8154,,,
25,Umar Akmal,613,27.86,5.98,99.67,51.06,170.2125273,0.902,0.909,1.3204,,,
26,Waqar Ahmed,589,29.45,4.34,72.33,37.64,125.4697617,0.87,0.571,0.9824,,,
27,Rizwan Hussain,587,36.68,5.21,86.83,56.09,186.9622393,0.906,1.035,1.4464,,,
28,Mohammad Haris,556,32.7,6.68,111.33,60.73,202.41736,0.92,1.151,1.5624,,,
29,Sahibzada Farhan,538,26.9,4.69,78.17,33.94,113.1243633,0.855,0.478,0.8894,,,
